system:index,AreaM2,B11,B12,B2,B3,B4,B8,class,FEATURETYP,.geo
00000000000000000000_0,n/a,4115.5,2839,922,1356,1982,3163,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1449730469804,-36.432748399214404]}"
00000000000000000001_0,n/a,3298,2508.5,647,977,1562,2370,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.48687184411628,-36.556715908422895]}"
00000000000000000002_0,n/a,1592,975,199.5,379.5,355.5,2510,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.09349958120035,-37.690928786152206]}"
00000000000000000003_0,n/a,2466,1534,521,780,1006,2416,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.75816305992038,-37.61250586184857]}"
00000000000000000004_0,n/a,1976,1143,438.5,844.5,689,3932,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16850890742433,-38.19389551373072]}"
00000000000000000005_0,n/a,3187.5,1959,669.5,906,1302,2817,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.02073604318667,-37.25892896601913]}"
00000000000000000006_0,n/a,1241,609,144.5,304.5,237.5,1980.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15754946095805,-37.62759755862178]}"
00000000000000000007_0,n/a,2792.5,1779.5,546,842.5,1170,2879,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.38042148294812,-37.62571109652513]}"
00000000000000000008_0,n/a,1401,815,414,583,516,2586,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.51670506011274,-38.308430712455966]}"
00000000000000000009_0,n/a,939,433,145,253,194,1986,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.58237190738188,-38.38694346828801]}"
0000000000000000000a_0,n/a,2351,1048,328,839,506,5396,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.69923815156397,-38.60146115813575]}"
0000000000000000000b_0,n/a,2699,1623.5,557.5,865,1292,2898,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.11021281976682,-37.46760760652009]}"
0000000000000000000c_0,n/a,2508,1563.5,296.5,669,506,3907,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0225326737549,-37.56732060305736]}"
0000000000000000000d_0,n/a,1653.5,703,206,525,212,4976,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0735569818929,-37.64143161399722]}"
0000000000000000000e_0,n/a,4974.5,3603.5,2121,2799,3952,5214,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.5614320126982,-36.46454876027224]}"
0000000000000000000f_0,n/a,4465.5,2694.5,1180,1813,2944,4786,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20533983407321,-36.36438660609291]}"
00000000000000000010_0,n/a,1586.5,895,201,386,304,2340,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.74405493567784,-37.702067895675285]}"
00000000000000000011_0,n/a,3085,1865.5,270.5,447,713,2284,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.21099922036316,-36.87570766581374]}"
00000000000000000012_0,n/a,2480,1577.5,457,770.5,1380,2329,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.60437148327912,-36.467782695295064]}"
00000000000000000013_0,n/a,2267,1586,667,945.5,1194,2869,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2607658871034,-37.92449076002328]}"
00000000000000000014_0,n/a,3542,2397,663,954.5,1483,2338,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.12485078461611,-36.663795090289945]}"
00000000000000000015_0,n/a,3485.5,2416,502,761.5,1064,2252,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.99962563400985,-36.95565772610038]}"
00000000000000000016_0,n/a,3987,2825,702.5,1083,1674,2455,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.93270114534295,-36.39789376619056]}"
00000000000000000017_0,n/a,3569.5,2621.5,631.5,920.5,1259,2498,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.4057539739603,-36.81040014465825]}"
00000000000000000018_0,n/a,2931,2139,614,929,1446,2438,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3846435647835,-37.898978605954284]}"
00000000000000000019_0,n/a,1896,1000,337.5,647.5,807,2971,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.66697948430038,-37.83097613894644]}"
0000000000000000001a_0,n/a,3682.5,2279.5,506,747,1163,2583,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.04849398546597,-37.200897798665004]}"
0000000000000000001b_0,n/a,1672.5,797.5,268,358,319,2719,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2638201590694,-38.35244816137782]}"
0000000000000000001c_0,n/a,2051.5,1175,336,627,597.5,3293,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.29562052012724,-37.72704106057381]}"
0000000000000000001d_0,n/a,4164.5,2900,828.5,1169,1667,2517,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0932300866151,-36.93149304495756]}"
0000000000000000001e_0,n/a,3980.5,2579.5,637,929.5,1287,2542,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.44986125441056,-36.93508630609404]}"
0000000000000000001f_0,n/a,2026.5,1023,284.5,682,404,3973,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.06412467140964,-37.507492805135]}"
00000000000000000020_0,n/a,1746.5,796,250.5,546.5,320,3675,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.80963195141857,-37.62454328665577]}"
00000000000000000021_0,n/a,1936,1013.5,299,465.5,505.5,2690,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.6813525288463,-37.76746524835919]}"
00000000000000000022_0,n/a,3887.5,2666.5,622.5,851,1251,2386,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.39551317972132,-36.83492415191471]}"
00000000000000000023_0,n/a,1486.5,913.5,270.5,531.5,373,3098,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0022307483338,-37.97183197549638]}"
00000000000000000024_0,n/a,1483.5,928,397,604,634.5,2433,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.89964314288736,-37.57163251642113]}"
00000000000000000025_0,n/a,1883,1114,322.5,496,573,2761,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9653998216849,-37.88218011014125]}"
00000000000000000026_0,n/a,2614,1749,406,585,746,2038,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20560932865845,-36.777970962901534]}"
00000000000000000027_0,n/a,3881,2520.5,537.5,846,1294,2572,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16222070043548,-36.85531590886423]}"
00000000000000000028_0,n/a,2036.5,938.5,281.5,653,319.5,4856,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.99109163881073,-37.52222517579456]}"
00000000000000000029_0,n/a,2848,2574.5,1708,1979,2271,2637,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.58146901781592,-38.276899845983365]}"
0000000000000000002a_0,n/a,1910.5,1041,350,769.5,485.5,4144,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.991810291038,-37.57154268489272]}"
0000000000000000002b_0,n/a,3623,2426,1026,1425,1888,3437,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.13814585082108,-37.905715970585184]}"
0000000000000000002c_0,n/a,2473,1366.5,418,729.5,896.5,3186.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.36191618809525,-37.63424509172426]}"
0000000000000000002d_0,n/a,2065,1060,287.5,592,427.5,3345,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.66006245661268,-37.70512216764129]}"
0000000000000000002e_0,n/a,2192,1183,416,784,745.5,3874,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.36102244709298,-37.73800050704007]}"
0000000000000000002f_0,n/a,2132,1127,299,473,488,2617,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.90045162664305,-37.754349845211046]}"
00000000000000000030_0,n/a,3617,2457,776,1032,1322,2670,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.68810361632276,-38.10783690951207]}"
00000000000000000031_0,n/a,2037.5,1158,328.5,662,449.5,4256,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.13536107344032,-38.2117719878847]}"
00000000000000000032_0,n/a,2042,1354.5,589.5,799.5,901.5,2716,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.54553640645113,-38.40212499658963]}"
00000000000000000033_0,n/a,1243.5,672.5,466.5,1075.5,687.5,4139,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.18467858253848,-37.67457944798123]}"
00000000000000000034_0,n/a,5038,4154.5,1485,2052,2512,3646,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8857192559835,-36.35513395866648]}"
00000000000000000035_0,n/a,3382.5,2298.5,532.5,784.5,1152,2158,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.29786630833755,-36.94685423631601]}"
00000000000000000036_0,n/a,2516.5,1852,520.5,817.5,885,2961,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.47905650114444,-38.0434277036407]}"
00000000000000000037_0,n/a,2576,1842,557,835.5,1278,2150,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.37619940111276,-37.887570001845965]}"
00000000000000000038_0,n/a,2506,1868.5,935.5,1447,1484,4161,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9782457302478,-37.59678534437648]}"
00000000000000000039_0,n/a,2252,1705.5,639.5,832.5,1115,2041,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.72573387816365,-37.62238732997388]}"
0000000000000000003a_0,n/a,1705.5,827.5,259,604.5,521.5,3728,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2975968137523,-37.64475538054846]}"
