system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,694.0,919.0,1300.0,2230.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8392763557945,-37.49608420102668]}"
00000000000000000001_0,817.0,1092.0,1522.0,2192.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.93881426355682,-37.51854208312967]}"
00000000000000000002_0,742.5,1084.0,1586.0,2305.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.59871209698917,-37.79423504382595]}"
00000000000000000003_0,298.0,417.0,387.0,1804.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2184598115032,-37.76054822067147]}"
00000000000000000004_0,296.0,503.0,552.0,2420.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.12476552736956,-38.11924551362039]}"
00000000000000000005_0,278.0,432.0,427.0,2386.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.25556023273737,-37.73090381629552]}"
00000000000000000006_0,570.0,1080.0,946.0,3630.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.30200313292633,-38.15445947275788]}"
00000000000000000007_0,428.0,662.0,808.0,2414.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.8501505450142,-37.635592564650445]}"
00000000000000000008_0,678.0,822.5,1016.0,1522.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.69869458811166,-37.86250700541903]}"
00000000000000000009_0,633.0,891.0,1204.0,2467.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.63994476853026,-37.856128966901785]}"
0000000000000000000a_0,293.0,504.0,527.0,2348.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87619711397184,-37.5202488821695]}"
0000000000000000000b_0,346.0,483.0,592.0,1614.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.10140932998243,-38.16928167494585]}"
0000000000000000000c_0,680.0,901.0,1128.0,2226.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.9237225667836,-37.56184087982423]}"
0000000000000000000d_0,404.0,736.0,540.0,2068.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.14515728431905,-38.10675893117113]}"
0000000000000000000e_0,290.0,447.0,595.0,1968.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.83092659793405,-37.558786607858224]}"
0000000000000000000f_0,588.0,821.0,889.0,2648.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.00537942611007,-38.280942264761904]}"
00000000000000000010_0,934.0,1232.0,1666.0,2586.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.85509127907687,-37.59930062717201]}"
00000000000000000011_0,353.0,482.0,565.0,1918.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.19483411953087,-37.743570061801606]}"
00000000000000000012_0,872.0,1202.0,1676.0,2358.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.23525830731626,-38.06381946059022]}"
00000000000000000013_0,1043.0,1242.0,1487.0,1724.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.8236502441327,-37.819657366366535]}"
00000000000000000014_0,451.0,632.0,617.0,2040.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.15387094257503,-37.782467113603985]}"
00000000000000000015_0,2076.0,2318.0,2330.0,2112.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.9515703405913,-37.62633991722401]}"
00000000000000000016_0,892.0,1282.0,1604.0,3282.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.21953778984417,-38.13334906358107]}"
00000000000000000017_0,792.5,1140.0,1576.0,1826.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.64542449176338,-37.85451199939037]}"
00000000000000000018_0,599.0,1020.0,1196.0,3134.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.16590836738223,-38.107387751870014]}"
00000000000000000019_0,434.0,619.0,631.0,1516.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.19258833132056,-37.78192812443351]}"
0000000000000000001a_0,276.0,425.0,430.0,2150.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.89802617537595,-37.530220181823225]}"
0000000000000000001b_0,709.0,967.0,1396.0,2408.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.04373748874198,-38.269803155238826]}"
0000000000000000001c_0,763.0,960.0,1254.0,2186.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.88482551498123,-37.53507108435747]}"
0000000000000000001d_0,604.0,881.0,1270.0,3298.0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.08820409530588,-38.29872890738747]}"
0000000000000000001e_0,1851.0,2181.0,2328.0,2183.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.80712124290488,-37.82369978514507]}"
0000000000000000001f_0,957.0,1246.0,1384.0,2226.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.79678604285567,-37.58304112052945]}"
00000000000000000020_0,673.0,900.5,1154.0,2502.0,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.855989594361,-37.54216777510201]}"
00000000000000000021_0,1088.0,1316.0,1466.0,1600.0,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1965409185707,-38.12050315501816]}"
00000000000000000022_0,1484.0,1640.0,1518.0,2002.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8512239490733,-37.555013683664924]}"
00000000000000000023_0,694.0,842.0,1070.0,1792.0,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.07877178482264,-38.1966802911115]}"
00000000000000000024_0,767.0,1238.0,1576.0,2634.0,36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.26517220627744,-38.10873522479619]}"
00000000000000000025_0,863.0,1188.0,1482.0,2696.0,37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.93279555115322,-37.60136675232549]}"
00000000000000000026_0,635.0,948.0,1052.0,2406.0,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.845923888897,-37.57756139729632]}"
00000000000000000027_0,312.0,575.0,517.0,2792.0,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.04715108682163,-38.26629972563076]}"
00000000000000000028_0,875.0,1080.0,1134.0,1938.0,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.7426222055051,-37.855679809259726]}"
00000000000000000029_0,343.0,552.0,401.0,2424.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.8944374885213,-37.65670297382725]}"
0000000000000000002a_0,895.0,1278.0,1882.0,3082.0,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.97923845134218,-37.64574352736099]}"
0000000000000000002b_0,465.0,747.0,996.0,2676.0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1505471760238,-38.07504840164171]}"
0000000000000000002c_0,833.0,1032.0,1442.0,1962.0,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1889950701841,-38.103794490733534]}"
0000000000000000002d_0,709.0,888.0,1276.0,1994.0,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.88644248249264,-37.57774106035315]}"
0000000000000000002e_0,195.0,386.0,343.0,2829.0,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8316406758795,-37.569296896682424]}"
0000000000000000002f_0,254.0,382.0,433.0,1892.0,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.92371799250176,-37.47982469438412]}"
00000000000000000030_0,390.0,551.0,841.0,1934.0,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.09763640578913,-38.315347740143686]}"
00000000000000000031_0,313.0,636.0,506.0,3654.0,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.08344302430007,-38.22533654867491]}"
00000000000000000032_0,448.0,800.0,972.0,2754.0,50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.03286787380412,-38.291452553586105]}"
00000000000000000033_0,526.5,778.5,946.5,1445.0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.7905922416771,-37.832503274929444]}"
00000000000000000034_0,364.0,540.0,543.0,2464.0,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.03628147188377,-38.24743510466425]}"
00000000000000000035_0,405.0,656.0,735.0,2446.0,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.26175860819777,-37.75848209551799]}"
00000000000000000036_0,675.0,959.0,1246.0,2238.0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.93926342119886,-37.575944429784904]}"
00000000000000000037_0,178.0,337.0,328.0,1622.0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.20498508224142,-37.762704177353356]}"
00000000000000000038_0,684.0,1134.0,1630.0,3024.0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2385820738675,-38.10469280601766]}"
00000000000000000039_0,520.0,888.0,984.0,3264.0,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.20273929403112,-38.086187511164795]}"
0000000000000000003a_0,727.0,992.0,1404.0,2264.0,58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.86784735611138,-37.53246597003352]}"
0000000000000000003b_0,919.0,1202.0,1624.0,2354.0,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.93234639351115,-37.55267806392621]}"
0000000000000000003c_0,259.0,471.0,559.0,2374.0,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1085958522554,-38.322713925473465]}"
0000000000000000003d_0,866.0,1072.0,1368.0,1896.0,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.93171757281226,-37.57423763074508]}"
0000000000000000003e_0,1118.0,1505.0,2075.0,3193.0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.84242503357078,-37.64304858150864]}"
