system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,198.0,269.0,245.0,2175.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40558345946715,-37.00596338201107]}"
00000000000000000001_0,572.0,832.0,1078.0,2168.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.7010347821322,-37.43634623463273]}"
00000000000000000002_0,1034.0,1296.0,1704.0,2424.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.52658195395622,-37.009017653977075]}"
00000000000000000003_0,143.0,242.0,180.0,1978.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.88321312175165,-37.54252710121566]}"
00000000000000000004_0,302.0,444.0,485.0,1864.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.31143544340958,-37.30689900219111]}"
00000000000000000005_0,738.5,1040.5,1541.0,2803.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4956799081825,-37.03794340612573]}"
00000000000000000006_0,900.5,1217.0,1758.0,2636.5,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.20274386831298,-37.10037631837203]}"
00000000000000000007_0,157.0,274.0,208.0,1796.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.34072509595373,-37.51476915893637]}"
00000000000000000008_0,189.0,385.0,219.0,2896.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.72969103969564,-37.779772167751624]}"
00000000000000000009_0,213.0,360.5,330.0,2114.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.31063153393572,-37.05617920639335]}"
0000000000000000000a_0,149.0,277.0,272.0,2186.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.24460536055295,-37.54701867763626]}"
0000000000000000000b_0,645.0,901.0,1282.0,2078.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.9016285850761,-37.06453353853566]}"
0000000000000000000c_0,389.0,527.0,585.0,2108.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.38078995762547,-37.250035644706344]}"
0000000000000000000d_0,205.0,388.0,209.0,2262.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39165499828147,-37.549533960431795]}"
0000000000000000000e_0,805.0,1096.0,1490.0,2522.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.09530536033228,-37.15903630642504]}"
0000000000000000000f_0,818.0,1116.0,1510.0,3034.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.47861191778424,-37.179967052545024]}"
00000000000000000010_0,442.0,690.0,921.0,2104.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.69816017322304,-37.42116470633111]}"
00000000000000000011_0,145.0,261.0,244.0,1688.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38033622570157,-37.42763257637677]}"
00000000000000000012_0,458.0,635.0,876.0,1852.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.26805138946847,-37.00793967563613]}"
00000000000000000013_0,213.0,325.5,480.0,1409.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.48642726075607,-37.043872287000916]}"
00000000000000000014_0,128.0,194.0,140.5,1631.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.81745644295412,-37.56785959222783]}"
00000000000000000015_0,282.0,410.0,515.0,1680.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.97250566099314,-36.896997738047375]}"
00000000000000000016_0,271.0,360.0,309.0,1730.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.86982822401828,-37.45521085559924]}"
00000000000000000017_0,139.0,229.5,215.5,1827.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.51966950055035,-37.10109497059933]}"
00000000000000000018_0,184.0,299.0,275.0,2146.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.6730073452677,-37.57531560908602]}"
00000000000000000019_0,106.0,175.0,144.0,1678.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.7774814128108,-37.479645031327294]}"
0000000000000000001a_0,219.5,313.5,275.5,2049.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.84332792313677,-37.67377096422552]}"
0000000000000000001b_0,74.0,141.0,102.0,2314.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.74630987245186,-37.547827161391965]}"
0000000000000000001c_0,250.0,302.0,331.5,2494.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.79302226722606,-37.791719761030414]}"
0000000000000000001d_0,137.0,240.0,182.0,1886.0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.02936901847792,-37.64071296176992]}"
0000000000000000001e_0,206.0,296.0,216.0,2370.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.7939205825102,-37.61187704114969]}"
0000000000000000001f_0,249.0,348.0,442.0,1678.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.85096360305178,-37.13568010903793]}"
