system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,390.0,542.0,752.0,1980.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.3510557217211,-38.401406344362336]}"
00000000000000000001_0,395.0,572.0,735.0,2072.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97258634395786,-36.98898522314121]}"
00000000000000000002_0,703.0,908.0,1258.0,1970.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.37125866705009,-37.97695237261586]}"
00000000000000000003_0,1096.0,1634.0,2508.0,3196.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2653472950524,-36.49724743661418]}"
00000000000000000004_0,668.0,924.0,1382.0,2514.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.52155138836514,-38.54450796912258]}"
00000000000000000005_0,1001.0,1386.0,1954.0,3030.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.02262250528332,-37.627507727093366]}"
00000000000000000006_0,899.0,1128.0,1452.0,2324.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43423514274872,-38.180600447525755]}"
00000000000000000007_0,843.0,1080.0,1516.0,2356.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.69734254090363,-37.812740338678815]}"
00000000000000000008_0,1402.0,1814.0,2342.0,3162.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.97617960509433,-36.38064611273547]}"
00000000000000000009_0,97.0,238.0,187.0,1834.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15656131414553,-37.629394189190016]}"
0000000000000000000a_0,794.0,935.0,1239.0,1878.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2766660676323,-38.22668402160109]}"
0000000000000000000b_0,1134.0,1344.0,1490.0,1866.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.49002052189255,-38.07828233666454]}"
0000000000000000000c_0,761.0,1068.0,1638.0,2868.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.69771101558098,-38.24743510466425]}"
0000000000000000000d_0,1210.0,1530.0,1850.0,3094.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7613163119785,-38.11664039929644]}"
