system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,832.0,1333.0,1602.0,3192.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.13590463689263,-37.97021500798496]}"
00000000000000000001_0,588.0,738.0,752.0,2116.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.9047681142887,-37.796301168979426]}"
00000000000000000002_0,3434.0,3540.0,3446.0,3266.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.18423399917828,-38.018634201799]}"
00000000000000000003_0,550.0,800.0,858.0,2110.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.0476002444637,-37.65661314229884]}"
00000000000000000004_0,425.0,628.0,797.0,2430.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.11623153217042,-37.822262480690476]}"
00000000000000000005_0,763.0,959.0,1252.0,2101.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1422826754099,-38.01881386485583]}"
00000000000000000006_0,620.0,926.5,1001.0,2657.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.31853213415414,-37.991325417161775]}"
00000000000000000007_0,1212.0,1248.0,1322.0,1780.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.13006558754586,-37.69551019410122]}"
00000000000000000008_0,1146.0,1466.0,1736.0,2454.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.72663219344778,-37.87741903913542]}"
00000000000000000009_0,479.5,737.5,775.0,2814.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.27990457693699,-37.96033353985965]}"
0000000000000000000a_0,1216.0,1440.0,1578.0,1766.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.95417545491526,-37.65688263688408]}"
0000000000000000000b_0,445.0,660.0,667.0,2622.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.08811426377747,-37.71491380423819]}"
0000000000000000000c_0,1114.0,1420.0,1618.0,2022.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.98399952234803,-37.74249208346067]}"
0000000000000000000d_0,543.0,750.0,1024.0,1788.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.7892447687509,-37.67763371994724]}"
0000000000000000000e_0,720.0,890.0,994.0,1168.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.16114729637638,-37.90463799224424]}"
0000000000000000000f_0,906.0,1162.0,1610.0,2842.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.10805686308493,-37.74330056721637]}"
