system:index,B2,B3,B4,B8,class,.geo
1_0000000000000000010b_1_0,874.5,1024,1131,1705,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2171975958236,-38.37140261387274]}"
1_000000000000000001b4_7_0,634.5,1079,1141,1036,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.89757701773388,-37.342562118970655]}"
1_0000000000000000005a_4_0,1058,1282,1539,2106,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4637942898781,-35.99625700266073]}"
1_000000000000000000e5_7_0,5158,5092,4924,5428,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1207322571547,-37.91371097661385]}"
1_000000000000000000c3_0_0,861,1110,1344,2598,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.60957713764515,-35.43265399340414]}"
1_000000000000000000d2_0_0,661,1021,1394,2190,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.67155631796754,-37.708805260306185]}"
1_000000000000000001bd_8_0,728.5,1070,1254,2288,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.91295650621973,-36.06318149132763]}"
1_000000000000000000ec_8_0,2384.5,2724.5,2964.5,3610,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.00161565048046,-36.16415212926267]}"
1_000000000000000001be_3_0,1444,1694,1700,3530,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.14758730986804,-38.63613612810276]}"
1_0000000000000000016e_3_0,1021.5,1588,2173,2956,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4124060813446,-36.21661374185525]}"
1_000000000000000000c7_8_0,518.5,820,1021.5,2195,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.96864290527142,-36.50766789390997]}"
1_00000000000000000134_9_0,801.5,1103,1550,2813,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.67201004989147,-37.84579834113441]}"
1_0000000000000000010d_8_0,685.5,909.5,1245,2070,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.43412701409292,-36.46059617302211]}"
1_000000000000000000c9_7_0,624,902.5,1271,2613,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.23856377674008,-36.8859484600527]}"
1_0000000000000000012c_1_0,751.5,1036,1455,2085,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.38392491255618,-37.78462307028587]}"
1_0000000000000000017d_0_0,468,734,844,2264,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.64695162774638,-37.74401921944367]}"
1_000000000000000000f2_5_0,1131,1580,2152,2781,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.03628604616563,-36.18759815817818]}"
1_0000000000000000012a_4_0,138.5,174.5,280,525,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.6768609524257,-36.74572144420164]}"
1_00000000000000000123_5_0,950.5,1202,1496,2266,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.8864562053382,-37.360169098539394]}"
1_00000000000000000080_4_0,129,235,152.5,146.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.03331245716433,-37.46904491097468]}"
1_00000000000000000172_2_0,402,564,706,966,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.74504765677224,-37.21985225115993]}"
1_00000000000000000094_1_0,340,401.5,418,823,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.93359031206336,-38.210424514958525]}"
1_000000000000000001a4_4_0,4371,4195.5,4207.5,4782,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.3637219672272,-38.37580435876493]}"
1_0000000000000000014a_0_0,394.5,663.5,731.5,3517,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9901933235266,-37.65787078369661]}"
