system:index,B2,B3,B4,B8,class,.geo
0_0_0,636.0,857.0,974.0,1972.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82993387683968,-37.582861457472625]}"
0_1_0,855.0,1112.0,1130.0,2592.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8345152847887,-37.59516837686506]}"
0_2_0,850.0,1116.0,1294.0,2376.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82921522461237,-37.591036126558116]}"
0_3_0,799.0,1116.0,1250.0,2098.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8346051163171,-37.582412299830565]}"
0_4_0,776.0,976.0,1094.0,1612.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82104055552688,-37.58591572943863]}"
0_5_0,666.0,843.0,1024.0,2040.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82050156635643,-37.58205297371692]}"
0_6_0,906.0,1086.0,1200.0,1800.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8248134797202,-37.58636488708069]}"
0_7_0,649.0,1048.0,1066.0,2624.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82086089247008,-37.589598822103525]}"
0_8_0,1062.0,1326.0,1318.0,2808.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8338864640898,-37.584568256512455]}"
0_9_0,1030.0,1218.0,1400.0,2236.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82535246889066,-37.586903876251164]}"
0_10_0,484.0,750.0,777.0,2100.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82966438225444,-37.58304112052945]}"
0_11_0,560.0,894.0,875.0,3476.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8248134797202,-37.58402926734198]}"
0_12_0,797.0,1092.0,1190.0,2204.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82840674085668,-37.58106482690439]}"
0_13_0,594.0,747.0,810.0,1608.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82050156635643,-37.58852084376258]}"
0_14_0,846.0,951.0,1066.0,1508.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8241846590213,-37.59202427337065]}"
0_15_0,529.0,817.0,860.0,3022.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8339762956182,-37.582861457472625]}"
0_16_0,722.0,1008.0,1106.0,2514.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8285864039135,-37.591664947256994]}"
0_17_0,558.0,732.0,876.0,2724.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.81915409343023,-37.589598822103525]}"
0_18_0,678.0,797.0,859.0,1698.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.82157954469736,-37.59031747433082]}"
0_19_0,952.0,1242.0,1568.0,2254.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8271490994589,-37.590047979745584]}"
1_0_0,1166.0,1250.0,1288.0,2022.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85266125352788,-37.56767992917101]}"
1_1_0,730.0,880.0,910.0,2084.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.86047659649975,-37.56723077152895]}"
1_2_0,476.0,639.0,737.0,2394.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85553586243708,-37.57127319030749]}"
1_3_0,614.0,820.0,855.0,1532.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85903929204514,-37.567140940000534]}"
1_4_0,538.0,758.0,792.0,2768.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.84017467107864,-37.57019521196654]}"
1_5_0,375.0,637.0,545.0,2574.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.84008483955023,-37.56776976069942]}"
1_6_0,556.0,824.0,787.0,2872.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8452052366697,-37.570285043494955]}"
1_7_0,1664.0,1746.0,1722.0,3378.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.83945601885134,-37.57253083170525]}"
1_8_0,209.0,415.0,304.0,2674.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.84233062776053,-37.57280032629049]}"
1_9_0,713.0,966.0,1062.0,2246.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8458340573686,-37.5706443696086]}"
1_10_0,883.0,1052.0,1186.0,1650.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85221209588585,-37.56785959222783]}"
1_11_0,1066.0,1392.0,1366.0,2370.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.84547473125494,-37.56875790751195]}"
1_12_0,637.0,827.0,855.0,1942.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85095445448806,-37.566691782358475]}"
1_13_0,195.0,438.0,267.0,2040.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.83909669273768,-37.571902011006365]}"
1_14_0,717.0,820.0,952.0,1626.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8593986181588,-37.57253083170525]}"
1_15_0,1058.0,1284.0,1384.0,1874.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85805114523262,-37.56750026611418]}"
1_16_0,224.0,415.0,396.0,2512.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85697316689166,-37.571183358779074]}"
1_17_0,779.0,944.0,1076.0,1712.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.83712039911262,-37.57271049476208]}"
1_18_0,938.0,1124.0,1056.0,1960.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85760198759056,-37.57432746227349]}"
1_19_0,1382.0,1814.0,1798.0,3078.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85472737868136,-37.57244100017684]}"
2_0_0,647.0,957.0,1098.0,3018.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87359199964789,-37.56408666803453]}"
2_1_0,264.0,493.0,372.0,3240.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.86936991781252,-37.56489515179024]}"
2_2_0,580.0,783.0,944.0,1930.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8715258744944,-37.56058323842646]}"
2_3_0,573.0,835.0,946.0,2924.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87008857003983,-37.564805320261826]}"
2_4_0,1076.0,1306.0,1306.0,2436.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87997003816514,-37.5608527330117]}"
2_5_0,1398.0,1428.0,1488.0,2632.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.880598858864,-37.56372734192088]}"
2_6_0,1011.0,1044.0,1112.0,1408.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87709542925595,-37.56094256454011]}"
2_7_0,753.0,1054.0,1290.0,1816.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87988020663673,-37.55824761868775]}"
2_8_0,249.0,435.0,449.0,2114.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87826323912532,-37.55815778715934]}"
2_9_0,461.0,558.0,588.0,1522.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8767361031423,-37.56058323842646]}"
2_10_0,601.0,745.0,821.0,2364.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8737716627047,-37.56390700497771]}"
2_11_0,558.0,827.0,933.0,2842.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87736492384118,-37.562649363579936]}"
2_12_0,454.0,738.0,819.0,2386.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87475980951723,-37.56516464637547]}"
2_13_0,1106.0,1336.0,1426.0,2156.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.88023953275038,-37.55896627091505]}"
2_14_0,760.0,991.0,1202.0,1788.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.86936991781252,-37.55959509161393]}"
2_15_0,481.0,744.0,807.0,2822.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87062755921028,-37.56435616261977]}"
2_16_0,651.0,835.0,959.0,2586.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8708072222671,-37.5608527330117]}"
2_17_0,609.0,910.0,1218.0,2286.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.88113784803448,-37.558067955630925]}"
2_18_0,882.0,1196.0,1250.0,3122.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87017840156824,-37.55779846104569]}"
2_19_0,818.0,1096.0,1334.0,1730.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.87188520060806,-37.55941542855711]}"
3_0_0,708.0,872.0,852.0,1896.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8588596289883,-37.55204924322733]}"
3_1_0,1190.0,1528.0,1700.0,1764.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.85373923186884,-37.552408569340976]}"
