system:index,B2,B3,B4,B8,class,.geo
0_0_0,283.0,780.0,727.0,3580.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25887942500674,-36.7634182552988]}"
0_1_0,674.0,945.0,1202.0,2204.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25609464762599,-36.766562358793216]}"
0_2_0,836.0,1160.0,1406.0,2258.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2564539737396,-36.76422673905451]}"
0_3_0,631.0,1004.0,1370.0,2164.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2607658871034,-36.76332842377039]}"
0_4_0,516.0,781.0,824.0,2930.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25582515304075,-36.764675896696566]}"
0_5_0,731.0,962.0,1096.0,1510.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25465734317137,-36.76278943459992]}"
0_6_0,1760.0,1982.0,2078.0,2956.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25753195208057,-36.7649453912818]}"
0_7_0,594.0,802.0,721.0,2634.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25654380526802,-36.7663826957364]}"
0_8_0,314.0,595.0,830.0,1942.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25977774029087,-36.7634182552988]}"
0_9_0,538.0,775.0,1032.0,2180.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25789127819422,-36.76521488586704]}"
0_10_0,117.0,398.0,298.0,3350.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25878959347833,-36.76350808682721]}"
0_11_0,1050.0,1494.0,1776.0,2536.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2569929629101,-36.76386741294086]}"
0_12_0,918.0,1086.0,1264.0,1828.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2578014466658,-36.76251994001468]}"
0_13_0,427.0,660.0,749.0,2360.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2561844791544,-36.765843706565924]}"
0_14_0,533.0,827.0,951.0,2454.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25501666928503,-36.76350808682721]}"
0_15_0,325.0,574.0,831.0,1876.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26058622404656,-36.76359791835562]}"
0_16_0,1982.0,2258.0,2320.0,2720.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25609464762599,-36.76431657058292]}"
0_17_0,1004.0,1256.0,1504.0,2120.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25582515304075,-36.7663826957364]}"
0_18_0,1138.0,1570.0,1776.0,2608.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25501666928503,-36.76243010848627]}"
0_19_0,1020.0,1512.0,1376.0,3076.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2563641422112,-36.76350808682721]}"
1_0_0,868.0,1086.0,1222.0,2376.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26938971383095,-36.74832655852559]}"
1_1_0,907.0,1052.0,1366.0,2424.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26283201225687,-36.75039268367907]}"
1_2_0,554.0,756.0,939.0,1828.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26543712658082,-36.74850622158242]}"
1_3_0,781.0,1146.0,1370.0,2466.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2719948281549,-36.74868588463924]}"
1_4_0,711.0,952.0,1106.0,1694.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26426931671145,-36.74868588463924]}"
1_5_0,514.0,688.0,702.0,2286.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2645388112967,-36.74679942254259]}"
1_6_0,954.0,1310.0,1510.0,2686.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26615577880813,-36.74931470533812]}"
1_7_0,601.0,920.0,1112.0,2208.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26364049601258,-36.750302852150654]}"
1_8_0,454.0,663.0,930.0,2002.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2706473552287,-36.74850622158242]}"
1_9_0,1202.0,1498.0,1622.0,3122.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26633544186492,-36.74967403145177]}"
1_10_0,746.0,958.0,1154.0,2266.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26921005077412,-36.748416390054004]}"
1_11_0,688.0,1015.0,1194.0,2692.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26651510492175,-36.74823672699718]}"
1_12_0,116.0,388.0,297.0,2676.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26885072466047,-36.74733841171306]}"
1_13_0,2172.0,2346.0,2404.0,2564.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26355066448417,-36.74976386298018]}"
1_14_0,698.0,856.0,948.0,1462.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26426931671145,-36.74742824324147]}"
1_15_0,708.0,960.0,1021.0,2750.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.27154567051284,-36.74886554769606]}"
1_16_0,560.0,827.0,972.0,1870.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26489813741034,-36.748416390054004]}"
1_17_0,935.0,1166.0,1490.0,2054.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26274218072845,-36.75012318909383]}"
1_18_0,1320.0,1430.0,1790.0,3260.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.265257463524,-36.74661975948576]}"
1_19_0,649.0,965.0,1216.0,2038.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2659761157513,-36.74787740088353]}"
2_0_0,747.0,1044.0,1426.0,2322.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16114272209455,-36.81129845994237]}"
2_1_0,695.0,976.0,1388.0,1988.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15970541763994,-36.81219677522649]}"
2_2_0,803.0,1188.0,1640.0,2350.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1600647437536,-36.811567954527604]}"
2_3_0,1276.0,1970.0,2612.0,3774.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16186137432183,-36.81120862841396]}"
2_4_0,755.0,1052.0,1470.0,2098.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15979524916835,-36.81174761758443]}"
2_5_0,465.0,653.0,915.0,2276.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15961558611153,-36.81129845994237]}"
2_6_0,867.0,1158.0,1594.0,2222.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16042406986725,-36.81174761758443]}"
2_7_0,741.0,1010.0,1458.0,2084.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15988508069677,-36.812106943698076]}"
2_8_0,1098.0,1610.0,2254.0,2976.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16150204820818,-36.81120862841396]}"
2_9_0,867.0,1172.0,1646.0,2264.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16051390139566,-36.81183744911284]}"
2_10_0,777.0,1084.0,1490.0,2214.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16105289056614,-36.81129845994237]}"
2_11_0,1001.0,1342.0,1858.0,2604.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16033423833883,-36.81147812299919]}"
2_12_0,802.0,1092.0,1538.0,2184.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1607833959809,-36.811118796885545]}"
2_13_0,724.0,1003.0,1426.0,2048.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15979524916835,-36.81201711216966]}"
2_14_0,648.0,867.0,1202.0,2166.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15961558611153,-36.811388291470784]}"
2_15_0,717.0,1096.0,1512.0,2968.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.16177154279342,-36.81120862841396]}"
2_16_0,824.0,1130.0,1572.0,2244.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15997491222518,-36.811567954527604]}"
2_17_0,684.0,976.0,1368.0,1936.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15961558611153,-36.81219677522649]}"
2_18_0,804.0,1172.0,1388.0,3134.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15979524916835,-36.811118796885545]}"
2_19_0,1300.0,1838.0,1972.0,2720.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.160154575282,-36.811388291470784]}"
3_0_0,824.0,949.0,1076.0,2338.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20731612769828,-36.75003335756542]}"
3_1_0,1058.0,1456.0,1568.0,3316.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20390252961863,-36.7506621782643]}"
3_2_0,969.0,1064.0,1180.0,2350.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20533983407321,-36.74976386298018]}"
3_3_0,937.0,1268.0,1508.0,2288.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20866360062448,-36.75048251520748]}"
3_4_0,1082.0,1328.0,1608.0,2028.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20471101337435,-36.74976386298018]}"
3_5_0,691.0,1000.0,1010.0,2248.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20489067643118,-36.74868588463924]}"
3_6_0,1002.0,1124.0,1284.0,2880.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20560932865845,-36.75039268367907]}"
3_7_0,754.0,949.0,1088.0,1838.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20426185573228,-36.75075200979271]}"
3_8_0,883.0,1176.0,1456.0,2644.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20803477992558,-36.750302852150654]}"
3_9_0,1250.0,1506.0,1918.0,2446.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20569916018687,-36.750572346735886]}"
3_10_0,824.0,949.0,1076.0,2338.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20722629616986,-36.75003335756542]}"
3_11_0,982.0,1394.0,1802.0,2396.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2058788232437,-36.74976386298018]}"
3_12_0,1026.0,1144.0,1390.0,1848.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20713646464145,-36.749404536866535]}"
3_13_0,2548.0,2586.0,2600.0,3728.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20426185573228,-36.75039268367907]}"
3_14_0,572.0,759.0,850.0,2138.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20480084490276,-36.74904521075289]}"
3_15_0,993.0,1620.0,2302.0,2722.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20839410603924,-36.750572346735886]}"
3_16_0,1096.0,1422.0,1694.0,2410.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20507033948797,-36.74967403145177]}"
3_17_0,1076.0,1198.0,1236.0,2310.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20381269809022,-36.750572346735886]}"
3_18_0,679.0,892.0,1120.0,1944.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20533983407321,-36.74859605311082]}"
3_19_0,957.0,1224.0,1472.0,1920.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.20560932865845,-36.74949436839495]}"
4_0_0,980.0,1396.0,2044.0,2814.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9173399539845,-36.43831795397595]}"
4_1_0,742.0,1060.0,1378.0,2440.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.90772798044443,-36.442809530396545]}"
4_2_0,800.0,1198.0,1722.0,2732.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.91105174699567,-36.43903660620324]}"
4_3_0,957.0,1318.0,1810.0,2690.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9216518673483,-36.438767111618006]}"
4_4_0,830.0,1214.0,1742.0,2632.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.90916528489902,-36.43957559537371]}"
4_5_0,775.0,1048.0,1416.0,2518.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.90871612725695,-36.43616199729406]}"
4_6_0,933.0,1366.0,1896.0,2952.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.91257888297866,-36.44056374218624]}"
4_7_0,802.0,1136.0,1494.0,2508.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9089856218422,-36.44262986733972]}"
4_8_0,998.0,1414.0,1996.0,2774.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9194959106664,-36.43858744856118]}"
4_9_0,868.0,1276.0,1860.0,2908.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.91302804062073,-36.441102731356715]}"
4_10_0,960.0,1368.0,2018.0,2718.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.91707045939927,-36.438497617032766]}"
4_11_0,807.0,1170.0,1580.0,2630.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.91257888297866,-36.43858744856118]}"
4_12_0,930.0,1276.0,1788.0,2574.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9159924810583,-36.43661115493612]}"
4_13_0,791.0,1126.0,1518.0,2522.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.90862629572854,-36.44164172052719]}"
4_14_0,753.0,1058.0,1372.0,2392.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.90862629572854,-36.437329807163415]}"
4_15_0,969.0,1308.0,1814.0,2546.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9210230466494,-36.43903660620324]}"
4_16_0,800.0,1178.0,1746.0,2690.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.91015343171154,-36.43903660620324]}"
4_17_0,745.0,1056.0,1354.0,2422.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.90736865433078,-36.44236037275448]}"
4_18_0,771.0,1054.0,1376.0,2478.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.90988393712632,-36.435623008123585]}"
4_19_0,799.0,1166.0,1590.0,2652.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.91159073616615,-36.43786879633389]}"
