system:index,B2,B3,B4,B8,class,.geo
0_0_0,861,1170,1556,2478,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0748283461362,-38.105950447415424]}"
0_1_0,968,1332,1776,2656,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0701571066588,-38.10828606715413]}"
0_2_0,544,742,836,2042,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0716842426418,-38.10586061588701]}"
0_3_0,750,837,987,1804,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0770741343465,-38.10666909964272]}"
0_4_0,951,1516,1418,3106,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07069609582925,-38.10604027894384]}"
0_5_0,1044,1548,1616,2116,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07033676971562,-38.10343516461989]}"
0_6_0,783,917,1166,1580,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07249272639748,-38.10711825728478]}"
0_7_0,650,933,1014,2408,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07078592735766,-38.10828606715413]}"
0_8_0,684,834,953,2342,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07599615600557,-38.10630977352907]}"
0_9_0,2086,2160,2180,2338,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07276222098272,-38.10756741492684]}"
0_10_0,670,1056,1412,2478,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0747385146078,-38.10604027894384]}"
0_11_0,639,880,991,1704,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0724028948691,-38.10568095283019]}"
0_12_0,833,1158,1492,2306,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07410969390892,-38.10451314296083]}"
0_13_0,758,1020,1144,1930,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07051643277242,-38.10756741492684]}"
0_14_0,2598,3074,3016,3372,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07033676971562,-38.10433347990401]}"
