system:index,B2,B3,B4,B8,class,.geo
0_0_0,659.0,899.5,1065.0,2437.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.48365620622084,-37.73386825673312]}"
0_1_0,473.5,783.0,948.0,2415.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47170861294205,-37.740695452892425]}"
0_2_0,695.5,911.0,1147.0,2340.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.4764696839479,-37.73575471882977]}"
0_3_0,623.5,855.0,1096.5,2451.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.4884172772267,-37.73350893061947]}"
0_4_0,686.5,947.0,1168.0,2447.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47413406420918,-37.736653034113885]}"
0_5_0,529.5,750.5,915.0,2227.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47458322185125,-37.73279027839217]}"
0_6_0,656.0,941.0,1087.5,2986.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47781715687407,-37.73719202328436]}"
0_7_0,272.0,396.5,443.5,2374.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47314591739666,-37.740246295250365]}"
0_8_0,632.0,881.0,1055.5,2645.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.48608165748797,-37.73368859367629]}"
0_9_0,593.0,976.5,996.0,3392.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47817648298772,-37.73773101245483]}"
0_10_0,641.0,923.5,1059.0,2615.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.48338671163563,-37.734047919789944]}"
0_11_0,589.0,929.0,936.0,3189.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47826631451613,-37.73494623507406]}"
0_12_0,671.0,928.0,1144.0,2593.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.48266805940833,-37.73207162616488]}"
0_13_0,576.0,836.5,994.5,2408.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47296625433984,-37.73916831690942]}"
