system:index,B2,B3,B4,B8,class,.geo
0_0_0,244.0,420.0,570.0,1674.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32194115795193,-36.7611724670885]}"
0_1_0,622.0,733.0,850.0,1214.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3247259353327,-36.760094488747555]}"
0_2_0,208.0,364.0,516.0,1580.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32418694616223,-36.76099280403167]}"
0_3_0,522.0,805.0,971.0,2120.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32032419044052,-36.7611724670885]}"
0_4_0,424.0,645.0,840.0,1684.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32481576686112,-36.760813140974854]}"
0_5_0,4420.0,4236.0,3972.0,3572.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32553441908843,-36.76162162473056]}"
0_6_0,332.0,528.0,708.0,1728.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32328863087812,-36.76063347791803]}"
0_7_0,322.0,611.0,695.0,1728.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32427677769064,-36.760094488747555]}"
0_8_0,426.0,739.0,928.0,2092.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32113267419624,-36.7611724670885]}"
0_9_0,396.0,583.0,802.0,1760.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3231089678213,-36.760543646389614]}"
0_10_0,286.0,457.0,637.0,1762.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32203098948034,-36.7611724670885]}"
0_11_0,255.0,483.0,637.0,1820.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32364795699175,-36.761082635560086]}"
0_12_0,268.0,401.0,560.0,1782.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32274964170765,-36.76162162473056]}"
0_13_0,830.0,1182.0,1414.0,2304.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3246361038043,-36.760363983332795]}"
0_14_0,1284.0,1556.0,1838.0,2052.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3253547560316,-36.761352130145326]}"
0_15_0,592.0,770.0,963.0,1288.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32050385349734,-36.761082635560086]}"
