system:index,B2,B3,B4,B8,class,.geo
00000000000000000008_2590_0,1694,1997,2300,2500,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.94123971482392,-37.69191693296474]}"
2_2547_0,1434,1626,1996,2150,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.56171065584715,-38.182037751980346]}"
00000000000000000006_3171_0,1248,1460,1396,2358,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.52937130561884,-38.186529328400944]}"
8_3752_0,1134,1384,1660,2678,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78422335172354,-38.153920483587406]}"
2_1549_0,752,1028,1458,2060,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.15961558611153,-36.81174761758443]}"
8_1028_0,610,852,1288,1966,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.29939344432054,-36.75326729258825]}"
9_70_0,825,1116,1528,2262,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.12583893142863,-36.752009651190484]}"
4_3755_0,460,662,783,2476,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3089155863322,-36.753446955645074]}"
3_2911_0,626,912,962,2886,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8549968732666,-37.546928846107846]}"
15_1705_0,603,892,1170,2504,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3022680532297,-36.76530471739545]}"
9_3600_0,1012,1270,1520,2452,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3012799064172,-36.75659105913949]}"
00000000000000000003_567_0,983,1180,1364,1902,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.44600764725254,-38.23719431042529]}"
2_1919_0,1618,1694,1684,2366,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8699987385114,-37.55734930340363]}"
6_1150_0,881,1078,1236,1342,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67085596286765,-38.56094713882196]}"
