system:index,B2,B3,B4,B8,class,.geo
1_0000000000000000011a_0_0,672.0,725.0,769.0,1541.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25420818552934,-38.28606266188139]}"
1_0000000000000000011a_1_0,1179.0,1282.0,1367.0,2554.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25438784858613,-38.285972830352975]}"
1_0000000000000000011a_2_0,888.5,1073.0,1086.0,2593.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25429801705775,-38.28606266188139]}"
1_0000000000000000011a_3_0,1179.0,1282.0,1367.0,2554.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25438784858613,-38.285972830352975]}"
1_0000000000000000011a_4_0,712.0,815.0,807.5,1803.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25411835400092,-38.28606266188139]}"
1_0000000000000000011a_5_0,712.0,815.0,807.5,1803.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25411835400092,-38.28606266188139]}"
1_0000000000000000011a_6_0,672.0,725.0,769.0,1541.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25420818552934,-38.28606266188139]}"
1_0000000000000000011a_7_0,659.5,799.0,847.5,2044.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25411835400092,-38.2861524934098]}"
1_0000000000000000011a_8_0,736.0,876.0,902.0,2238.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25420818552934,-38.2861524934098]}"
1_0000000000000000011a_9_0,672.0,725.0,769.0,1541.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.25420818552934,-38.28606266188139]}"
1_000000000000000001d4_0_0,359.5,580.5,520.5,3309.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58640517759673,-37.984138894888815]}"
1_000000000000000001d4_1_0,435.0,728.0,577.0,4119.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.5861356830115,-37.98521687322976]}"
1_000000000000000001d4_2_0,563.5,848.0,974.0,2740.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58640517759673,-37.98351007418993]}"
1_000000000000000001d4_3_0,625.5,840.0,999.0,2440.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58685433523877,-37.98342024266152]}"
1_000000000000000001d4_4_0,354.0,549.5,496.5,3645.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58640517759673,-37.98422872641723]}"
1_000000000000000001d4_5_0,359.5,580.5,520.5,3309.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58640517759673,-37.984138894888815]}"
1_000000000000000001d4_6_0,315.5,597.5,390.0,4037.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58631534606832,-37.98449822100246]}"
1_000000000000000001d4_7_0,341.5,588.0,418.5,4146.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58631534606832,-37.98431855794564]}"
1_000000000000000001d4_8_0,355.5,559.0,461.0,3612.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58649500912514,-37.984408389474055]}"
1_000000000000000001d4_9_0,358.5,572.5,456.0,3838.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58649500912514,-37.9840490633604]}"
