WKT,CURRENCY,PLAN_ACCUR,FEATSOURCE,BASIN,SDL_ID,FEAT_TYPE,VOL_ML_EST,SURFAREAM2,VIC_DAM_ID,ORIG_OBJID,FARMDAM_YN,RUNOFF_DAM,y,x,PerimM2,AreaM2
"MULTIPOLYGON (((141.980985499 -35.975174,141.98102 -35.975168,141.981060001 -35.9751755,141.981181 -35.9753695,141.981179 -35.9753885,141.981162999 -35.9754035,141.981003 -35.9754695,141.980968 -35.9754735,141.980944501 -35.975466,141.980828 -35.975269999,141.980828 -35.975247499,141.980839 -35.975224501,141.980985499 -35.975174)))",2005,+/- 5m,Satellite imagery,Wimmera-Avon,415,Rural Storage,0.59636725,698.29696821,AllVicPoly343940,349921,Y,N,-35.9754735,141.980828,100.725,698.7319454345337
"MULTIPOLYGON (((142.549820041 -37.623530784,142.550059276 -37.623471313,142.550087659 -37.623474016,142.550111987 -37.623487532,142.550129559 -37.623514565,142.550134966 -37.623537542,142.550133614 -37.623560519,142.550117394 -37.623584848,142.549843019 -37.623668648,142.549811933 -37.623665944,142.549790306 -37.623655132,142.549774087 -37.623630803,142.549770032 -37.623605122,142.549771383 -37.623583496,142.54977679 -37.623565926,142.549797063 -37.6235443,142.549820041 -37.623530784)))",Mar2010,+/- 5m,Aerial Imagery,Glenelg,2380505,Rural Storage,0.33247308,448.73394037,AllVicPoly095239,97011,Y,Y,-37.6236686,142.54977,85.67,448.8936454314969
"MULTIPOLYGON (((142.424877116 -37.874490558,142.424801649 -37.874443749,142.424465332 -37.87408431,142.424341316 -37.873991823,142.42426144 -37.873909846,142.424215196 -37.873821563,142.424208891 -37.873741688,142.42423832 -37.873575631,142.424295073 -37.873386453,142.424356029 -37.873331802,142.424446415 -37.873331802,142.424498964 -37.873352821,142.424517882 -37.873394861,142.424553616 -37.873493654,142.424559921 -37.873537796,142.424667122 -37.873663914,142.424780629 -37.8737543,142.424990827 -37.873848889,142.425236759 -37.873943478,142.425409121 -37.874004435,142.425636136 -37.874056985,142.42574754 -37.874101126,142.425781172 -37.87409482,142.425821109 -37.874082208,142.425850537 -37.874080106,142.425890474 -37.874088514,142.425964045 -37.87412635,142.426067041 -37.874174695,142.426174242 -37.874199919,142.426237301 -37.874210429,142.426298259 -37.874216735,142.42636342 -37.874227245,142.426592536 -37.87434916,142.426777509 -37.874441647,142.426924648 -37.874523624,142.427086501 -37.874651845,142.42718109 -37.874723312,142.427305107 -37.874805289,142.427359758 -37.874853635,142.427410206 -37.874952428,142.427401798 -37.874988161,142.427357656 -37.875032303,142.42718109 -37.87512479,142.427004523 -37.875219379,142.426894958 -37.875287628,142.426688044 -37.875409411,142.426521331 -37.875514642,142.426448025 -37.875558389,142.426377083 -37.875585583,142.426339247 -37.875592678,142.426300228 -37.875592678,142.426252935 -37.875580854,142.426229287 -37.875566666,142.426034197 -37.875379852,142.425901774 -37.875258069,142.425771714 -37.875154021,142.425517505 -37.874961296,142.425416637 -37.874885242,142.425308095 -37.874786104,142.425286968 -37.874759695,142.425286968 -37.874712159,142.42529489 -37.874671225,142.425273763 -37.874648777,142.425226227 -37.874619728,142.425103426 -37.874541821,142.425054568 -37.874514092,142.425036083 -37.874512771,142.425012315 -37.874529937,142.424976664 -37.874541821,142.424941719 -37.874530628,142.424877116 -37.874490558),(142.425641342 -37.874862665,142.425746221 -37.874880604,142.425789 -37.874880604,142.425834539 -37.874868184,142.425856619 -37.874851625,142.425882839 -37.874804705,142.425884219 -37.874775726,142.425870419 -37.874735706,142.42584282 -37.874706727,142.4258097 -37.874691547,142.4257752 -37.874668087,142.42576002 -37.874639107,142.42577244 -37.874589428,142.4257959 -37.874546649,142.42582488 -37.874519049,142.425857999 -37.874509389,142.425886979 -37.874498349,142.425918718 -37.874477649,142.425949078 -37.87445833,142.425969778 -37.8744072699999,142.425972538 -37.874379671,142.425955978 -37.874352071,142.425926998 -37.874312052,142.425918718 -37.874265132,142.425906298 -37.8742182129999,142.425889739 -37.874189233,142.425867659 -37.874182333,142.42584972 -37.874183713,142.42582626 -37.874203033,142.42581936 -37.874226493,142.42581936 -37.874255472,142.42580832 -37.874273412,142.425634442 -37.874603228,142.425562683 -37.874699827,142.425517143 -37.874719146,142.425482643 -37.874739846,142.425472984 -37.874748126,142.425468844 -37.874774346,142.425482644 -37.874803325,142.425522663 -37.874825405,142.425641342 -37.874862665)))",Mar2010,+/- 5m,Aerial Imagery,Hopkins River,2360101,Rural Storage,66.89309485,24856.62640929,AllVicPoly153180,155502,Y,Y,-37.8755927,142.4242089,1008.307,24866.8941189942
"MULTIPOLYGON (((144.370624176 -37.907457296,144.370782535 -37.90757747,144.370817351 -37.907614533,144.370819598 -37.907634749,144.370808367 -37.907657211,144.370684823 -37.907774016,144.370650007 -37.907784124,144.37061182 -37.907781878,144.370581496 -37.907768401,144.370427628 -37.907612286,144.370418643 -37.907584208,144.370424259 -37.907560623,144.370559034 -37.907447187,144.370587112 -37.907443818,144.370602835 -37.907447187,144.370624176 -37.907457296)))",,+/- 5m,Aerial Imagery,Moorabool,2320203,Rural Storage,0.73183723,815.31027513,AllVicPoly235100,239407,Y,Y,-37.9077841,144.3704186,107.22,814.2034697616699
"MULTIPOLYGON (((146.3141405 -36.44206,146.314048 -36.442496,146.313765 -36.4424875,146.313645 -36.443009,146.3135125 -36.443015499,146.313525499 -36.442504,146.313485999 -36.4419775,146.3135765 -36.441742,146.313807 -36.4417575,146.313974499 -36.4418445,146.313946 -36.442052,146.3141405 -36.44206)))",2005,+/- 5m,Satellite imagery,Ovens,4030804,Rural Licensed Storage,7.60760027,4796.15463456,AllVicPoly252941,258125,Y,Y,-36.4430155,146.313486,367.126,4773.225571863226
"MULTIPOLYGON (((145.520026822 -38.562505523,145.520080129 -38.562574983,145.520112437 -38.56263152,145.520120513 -38.562668673,145.520114051 -38.562705826,145.520096282 -38.562746209,145.520078513 -38.562768825,145.520046207 -38.562788209,145.520021977 -38.562796286,145.519997747 -38.562794672,145.519963824 -38.562783363,145.519918594 -38.562747825,145.519889517 -38.562713902,145.519871749 -38.562681596,145.519868517 -38.562626674,145.519873364 -38.562573368,145.519889518 -38.5625394469999,145.519913748 -38.562511985,145.51994444 -38.5624926,145.519970285 -38.562482908,145.519991285 -38.562482908,145.520010669 -38.562490985,145.520026822 -38.562505523)))",Jan2010,+/- 5m,Aerial Imagery,South Gippsland,2270108,Rural Storage,0.44601904,560.47744299,AllVicPoly292892,298436,Y,Y,-38.5627963,145.5198685,88.69,558.786334492081
"MULTIPOLYGON (((145.151400137 -37.597294811,145.151358258 -37.5972574789999,145.151342581 -37.597225797,145.151361629 -37.597121309,145.151405645 -37.597072225,145.151478439 -37.597057647,145.151537745 -37.597055957,145.151599628 -37.597083123,145.151666667 -37.597168003,145.151694538 -37.597239171,145.151683887 -37.59727044,145.151620643 -37.597298266,145.15152165 -37.5973071929999,145.151478735 -37.59731176,145.151400137 -37.597294811)))",Dec2009,+/- 5m,Aerial Imagery,Yarra,2290033,Rural Storage,0.57446966,678.80364882,AllVicPoly369116,375416,Y,Y,-37.5973118,145.1513426,95.046,677.1008088934838
"MULTIPOLYGON (((144.468222999 -37.396948001,144.469135 -37.39751,144.4692095 -37.397787,144.469004 -37.3979825,144.468416001 -37.398044999,144.467980001 -37.397952499,144.4675455 -37.397501,144.4674015 -37.397114,144.4675655 -37.3969005,144.467810001 -37.3967885,144.468222999 -37.396948001),(144.467707 -37.397353999,144.467868501 -37.397532501,144.468140501 -37.39753,144.4681255 -37.397363,144.4679045 -37.397083,144.467729001 -37.3970205,144.467640999 -37.397144001,144.467707 -37.397353999)))",2005,+/- 5m,Satellite imagery,Campaspe,4060003,Rural Storage,26.33621736,12275.97887253,AllVicPoly064050,65526,Y,Y,-37.398045,144.4674015,616.273,12257.278011078704
"MULTIPOLYGON (((146.5028715 -36.0879285,146.502765 -36.087971,146.50262 -36.087916499,146.502522 -36.087755001,146.5024765 -36.087583,146.502715 -36.087541,146.502846999 -36.087595499,146.5029255 -36.0877085,146.5028715 -36.0879285)))",2005,+/- 5m,Satellite imagery,Ovens,4031201,Town Rural Storage,1.42389215,1349.25574365,AllVicPoly256181,261416,Y,Y,-36.087971,146.5024765,139.179,1342.181677371744
"MULTIPOLYGON (((147.189640322 -38.370242304,147.189632711 -38.370250762,147.1896251 -38.370250762,147.189611569 -38.370248226,147.189590427 -38.370239768,147.189587891 -38.370230465,147.189586198 -38.370215243,147.189712205 -38.369904877,147.189724892 -38.369891346,147.18973673 -38.369887118,147.1897621 -38.369891347,147.189774786 -38.36990234,147.189776477 -38.369911643,147.189773094 -38.369929402,147.189656391 -38.370219471,147.189640322 -38.370242304)))",Feb2010,+/- 5m,Aerial Imagery,South Gippsland,2270928,Town Rural Storage,0.14660481,241.46476686,AllVicPoly301093,306677,Y,Y,-38.3702508,147.1895862,90.652,239.92600057288732
