B2,B3,B4,B8,class_3,class_2,.geo,Contributor
1390,1388,1209,1546,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34066271011642,-27.55424928861911]}",AK
1429,1412,1365,2034,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.554788277789584]}",AK
1656,1681,1746,2707,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34102203623007,-27.553530636391816]}",AK
1556,1580,1796,2492,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.553979794033875]}",AK
1500,1457,1376,1907,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34084237317325,-27.553800130977052]}",AK
1394,1331,1186,1518,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34075254164483,-27.55469844626117]}",AK
1409,1400,1225,1589,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34093220470166,-27.55406962556229]}",AK
1556,1580,1796,2492,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.553979794033875]}",AK
1382,1416,1323,1694,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34156102540055,-27.55371029944864]}",AK
1323,1322,1153,1464,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34102203623007,-27.554339120147525]}",AK
1390,1388,1209,1546,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34066271011642,-27.55424928861911]}",AK
1372,1345,1155,1524,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34102203623007,-27.553979794033875]}",AK
1418,1389,1286,2136,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.554339120147525]}",AK
1373,1323,1132,1469,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3412915308153,-27.554518783204347]}",AK
1609,1631,1634,2337,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34111186775849,-27.553530636391816]}",AK
1556,1580,1796,2492,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.553979794033875]}",AK
1447,1484,1429,1890,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34138136234372,-27.55362046792023]}",AK
1566,1520,1312,1948,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34138136234372,-27.55460861473276]}",AK
1534,1623,1562,2107,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34156102540055,-27.554518783204347]}",AK
1541,1429,1196.5,1729,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34201018304262,-27.554339120147525]}",AK
1524,1627,1409,2522,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3396745633039,-27.554967940846407]}",AK
1914,2065,1954,3102,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33913557413342,-27.554967940846407]}",AK
2125,2215,2045,3136,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.55460861473276]}",AK
1550,1639,1412,2455,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3396745633039,-27.55505777237482]}",AK
2010,2214,2047,2984,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33931523719025,-27.554788277789584]}",AK
1985,2297,2071,2805,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.55469844626117]}",AK
1719,1947,1877,2457,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.554878109317997]}",AK
1989,2126,1982,3037,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33922540566184,-27.554788277789584]}",AK
1493,1574,1384,2588,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33976439483232,-27.55505777237482]}",AK
1461,1503,1362,2808,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33976439483232,-27.554967940846407]}",AK
1524,1627,1409,2522,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3396745633039,-27.554967940846407]}",AK
1719,1947,1877,2457,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.554878109317997]}",AK
1513,1626,1435,3203,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3395847317755,-27.554878109317997]}",AK
1493,1574,1384,2588,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33976439483232,-27.55505777237482]}",AK
2108,2087,2003,3302,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.554518783204347]}",AK
1524,1627,1409,2522,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3396745633039,-27.554967940846407]}",AK
1955,2166,1954,2948,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33922540566184,-27.554878109317997]}",AK
1989,2126,1982,3037,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33922540566184,-27.554788277789584]}",AK
1722,1970,1984,2883,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33949490024708,-27.55469844626117]}",AK
1976,2039,2008,3276,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33949490024708,-27.554518783204347]}",AK
1214,1336,1478,2226,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561435810892068]}",AK
1425,1539,1713,2544,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34326782444037,-27.56152564242048]}",AK
1214,1337,1611,2211,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34353731902561,-27.561705305477304]}",AK
1580,1791,2198,2968,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561705305477304]}",AK
1214,1336,1478,2226,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561435810892068]}",AK
1286,1480,1649,2636,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561435810892068]}",AK
1425,1539,1713,2544,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34326782444037,-27.56152564242048]}",AK
1292,1438,1577,2420,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34317799291196,-27.561435810892068]}",AK
1241.5,1407,1482,2404,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.56152564242048]}",AK
1214,1336,1478,2226,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561435810892068]}",AK
1214,1336,1478,2226,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561435810892068]}",AK
1240.5,1362,1480,2358,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.56152564242048]}",AK
1233.5,1451,1549,2462,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561615473948894]}",AK
1292,1438,1577,2420,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34317799291196,-27.561435810892068]}",AK
1214,1337,1611,2211,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34353731902561,-27.561705305477304]}",AK
1286,1480,1649,2636,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561435810892068]}",AK
1220.5,1362,1498,2159,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34353731902561,-27.561615473948894]}",AK
1250,1388,1542,2366,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34326782444037,-27.561435810892068]}",AK
1298.5,1528,1836,2608,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561705305477304]}",AK
1298.5,1528,1836,2608,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561705305477304]}",AK
1642,1808,1926,2173,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.5624239577046]}",AK
1430,1508,1549,2098,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34425597125292,-27.5624239577046]}",AK
1723,1905,1936,2368,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34479496042337,-27.56233412617619]}",AK
1821,1960,1934,2375,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34488479195178,-27.5624239577046]}",AK
1394,1478,1560,1897,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34434580278133,-27.5624239577046]}",AK
1429,1682,1789,2031,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34452546583816,-27.56233412617619]}",AK
1642,1808,1926,2173,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.5624239577046]}",AK
1678,1741,1863,2219,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.562513789233012]}",AK
1678,1741,1863,2219,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.562513789233012]}",AK
1678,1741,1863,2219,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.562513789233012]}",AK
1642,1808,1926,2173,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.5624239577046]}",AK
1490,1683,1861,1958,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34461529736654,-27.5624239577046]}",AK
1723,1905,1936,2368,0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.56233412617619]}",AK
