B2,B3,B4,B8,class_3,class_2,.geo,Contributor,coordinates
1122.0,1440.0,1754.0,1960.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [146.5644056016995, -38.182756404207645]}",NK,"[146.5644056016995, -38.182756404207645]"
450.0,766.0,1002.0,2248.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.29930361279213, -36.75695038525314]}",EG,"[144.29930361279213, -36.75695038525314]"
1323.0,1322.0,1153.0,1464.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [152.34102203623007, -27.554339120147525]}",AK,"[152.34102203623007, -27.554339120147525]"
991.0,1278.0,1672.0,2608.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.7278852605637, -37.910746536176255]}",AK,"[143.7278852605637, -37.910746536176255]"
1182.0,1596.0,2192.0,3113.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.8925464521428, -37.95476398509811]}",AK,"[143.8925464521428, -37.95476398509811]"
846.5,1205.0,1788.0,2656.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.94851149434345, -37.75003793184727]}",AK,"[143.94851149434345, -37.75003793184727]"
715.0,948.0,1221.0,1894.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.85553586243708, -37.94236723417726]}",AK,"[143.85553586243708, -37.94236723417726]"
956.0,1384.0,1794.0,3408.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [152.92402865562366, -27.529096460663766]}",AK,"[152.92402865562366, -27.529096460663766]"
899.0,1346.0,1938.0,2764.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.88976167476204, -37.812291181036755]}",AK,"[143.88976167476204, -37.812291181036755]"
1258.0,1543.0,2027.0,3019.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.5777767765873, -37.93598919566001]}",AK,"[143.5777767765873, -37.93598919566001]"
567.5,942.0,1156.0,1742.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97393381688403, -37.73683269717071]}",AK,"[143.97393381688403, -37.73683269717071]"
604.0,839.0,1262.0,2110.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97393381688403, -37.73629370800024]}",AK,"[143.97393381688403, -37.73629370800024]"
699.0,1068.0,1325.0,1774.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.94914031504234, -37.75012776337568]}",AK,"[143.94914031504234, -37.75012776337568]"
1811.0,2313.0,2902.0,3550.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.71647665645537, -37.89367854577798]}",AK,"[143.71647665645537, -37.89367854577798]"
643.0,985.0,1298.0,2234.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.67784909923824, -37.87104100061817]}",AK,"[143.67784909923824, -37.87104100061817]"
1049.0,1408.0,1976.0,2852.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.64640806429406, -37.92844334727341]}",AK,"[143.64640806429406, -37.92844334727341]"
1197.0,1447.0,1703.0,2737.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.88428195152892, -37.94712830518309]}",AK,"[143.88428195152892, -37.94712830518309]"
886.0,1378.0,1918.0,2677.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95992009845176, -37.74042595830719]}",AK,"[143.95992009845176, -37.74042595830719]"
980.5,1284.0,1734.0,2389.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.58406498357616, -37.982252432792166]}",AK,"[143.58406498357616, -37.982252432792166]"
542.0,789.0,928.0,1773.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.97393381688403, -37.767914406001246]}",AK,"[143.97393381688403, -37.767914406001246]"
734.5,965.0,1288.0,2541.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.5723868848826, -37.93724683705778]}",AK,"[143.5723868848826, -37.93724683705778]"
1262.0,2327.0,3167.0,3105.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.94114530901368, -37.75138540477345]}",AK,"[143.94114530901368, -37.75138540477345]"
3909.0,3976.5,4083.0,4589.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [147.1446274437123, -37.98665417768435]}",AK,"[147.1446274437123, -37.98665417768435]"
1026.0,1256.0,1536.0,1638.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.31232918441185, -36.7529079664746]}",EG,"[144.31232918441185, -36.7529079664746]"
638.0,990.0,1254.0,2265.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95291323923564, -37.75111591018821]}",AK,"[143.95291323923564, -37.75111591018821]"
902.0,1245.0,1755.0,2614.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.96566931627012, -37.75381085604057]}",AK,"[143.96566931627012, -37.75381085604057]"
773.0,1136.0,1605.0,2881.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.84781035099365, -37.86286633153268]}",AK,"[143.84781035099365, -37.86286633153268]"
802.5,1151.0,1752.0,2740.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95650650037211, -37.756685464949754]}",AK,"[143.95650650037211, -37.756685464949754]"
1476.0,1902.0,2142.0,2164.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [146.44277371222972, -38.2357570059707]}",AH,"[146.44277371222972, -38.2357570059707]"
783.0,1144.0,1614.0,2334.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.59493459851402, -38.006327282406566]}",AK,"[143.59493459851402, -38.006327282406566]"
596.0,983.5,1238.0,2229.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95282340770723, -37.75111591018821]}",AK,"[143.95282340770723, -37.75111591018821]"
532.5,921.5,1182.0,1053.5,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9532725653493, -37.735485224244535]}",AK,"[143.9532725653493, -37.735485224244535]"
885.5,1293.0,1726.0,2369.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.72033941217708, -37.89206157826656]}",AK,"[143.72033941217708, -37.89206157826656]"
565.0,696.5,775.0,1531.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [141.59097286270017, -38.32882246940548]}",BH,"[141.59097286270017, -38.32882246940548]"
479.0,876.0,1081.5,1374.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.94096564595685, -37.76036855761464]}",AK,"[143.94096564595685, -37.76036855761464]"
758.0,962.0,965.0,2562.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.78977918363952, -37.559056102443456]}",GW,"[143.78977918363952, -37.559056102443456]"
3051.0,3173.0,3032.0,4104.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [150.94432143248105, -23.8014473576814]}",AK,"[150.94432143248105, -23.8014473576814]"
952.0,1242.0,1568.0,2254.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.8271490994589, -37.590047979745584]}",GW,"[143.8271490994589, -37.590047979745584]"
499.0,913.0,1266.0,2770.0,2,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [144.30020192807623, -36.75308762953142]}",EG,"[144.30020192807623, -36.75308762953142]"
662.0,1009.0,1210.0,3045.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95974043539493, -37.75399051909739]}",AK,"[143.95974043539493, -37.75399051909739]"
1130.0,1528.0,2146.0,3010.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.71476985741555, -37.89340905119275]}",AK,"[143.71476985741555, -37.89340905119275]"
381.5,664.0,733.0,1500.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.9767185942648, -37.76243468276812]}",AK,"[143.9767185942648, -37.76243468276812]"
462.0,735.0,1009.0,1555.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95533869050277, -37.74922944809156]}",AK,"[143.95533869050277, -37.74922944809156]"
2034.0,1989.0,1903.0,2956.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.63661642769716, -37.927634863517696]}",AK,"[143.63661642769716, -37.927634863517696]"
652.0,970.5,1386.0,2228.0,1,1,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.95542852203118, -37.74922944809156]}",AK,"[143.95542852203118, -37.74922944809156]"
964.0,1451.0,1890.0,2179.0,0,0,"{'geodesic': False, 'type': 'Point', 'coordinates': [143.96000992998017, -37.74060562136401]}",AK,"[143.96000992998017, -37.74060562136401]"
