system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,798.0,1137.0,1618.0,2520.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.0278235853675,-37.76629743848983]}"
00000000000000000001_0,1064.0,1382.0,1868.0,2536.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.2382090249083,-35.959515907540236]}"
00000000000000000002_0,769.0,1098.0,1506.0,2414.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.30225433038416,-36.486647316261575]}"
00000000000000000003_0,868.0,1258.0,1838.0,2580.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.09743844560492,-36.16702673817185]}"
00000000000000000004_0,650.0,989.0,1322.0,2258.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.5407570383179,-36.84768022894921]}"
00000000000000000005_0,1038.0,1314.0,1519.0,2644.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.08216708577487,-36.54369033680317]}"
00000000000000000006_0,484.0,708.0,913.0,2216.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61046630436556,-36.85567523497787]}"
00000000000000000007_0,877.0,1146.0,1570.0,2312.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.38786835124262,-37.768363563643305]}"
00000000000000000008_0,1136.0,1444.0,1902.0,2466.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.42496419819489,-36.860705800568944]}"
00000000000000000009_0,229.0,401.0,477.0,2004.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.04632888022036,-36.90732836381475]}"
0000000000000000000a_0,549.0,775.0,1130.0,1870.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.2934508405998,-37.053574092069404]}"
0000000000000000000b_0,1280.0,1760.0,2441.0,3267.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.36271094900542,-36.19631181643415]}"
0000000000000000000c_0,1074.0,1632.0,2276.0,3216.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.09106040708767,-35.98062631671705]}"
0000000000000000000d_0,250.0,420.0,440.0,1949.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.02602238051742,-37.450090458479764]}"
0000000000000000000e_0,1333.0,1853.0,2668.0,3708.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.07498056350192,-36.891697677871065]}"
0000000000000000000f_0,252.0,483.5,519.5,2165.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.8956814070735,-37.3324111562601]}"
00000000000000000010_0,372.0,556.0,685.0,2398.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.602745367204,-37.79872662024655]}"
