system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,231.0,341.0,393.0,1488.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.88034308712434,-36.83097156466459]}"
00000000000000000001_0,940.5,1334.0,1941.0,2524.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.70229242353,-36.174303091973215]}"
00000000000000000002_0,724.0,960.0,1390.0,2196.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.66582082299473,-36.286412839431335]}"
00000000000000000003_0,200.0,297.0,311.0,1750.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.72385656463072,-36.48134725608527]}"
00000000000000000004_0,910.0,1244.0,1730.0,2604.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39920542094993,-36.22945965041816]}"
00000000000000000005_0,114.0,253.0,238.0,1609.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.60923153437707,-36.966617172566636]}"
00000000000000000006_0,893.0,1398.0,2200.0,2940.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.74756751384962,-36.13082463222183]}"
00000000000000000007_0,825.0,1132.0,1404.0,2220.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.6008726279529,-36.05518648529897]}"
00000000000000000008_0,427.0,520.0,643.0,1946.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.23625102841063,-36.24787511374261]}"
00000000000000000009_0,125.0,265.0,211.0,2088.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.01140728707736,-37.0978610355765]}"
0000000000000000000a_0,1098.0,1686.0,2692.0,3484.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.78826119622022,-36.12938732776724]}"
0000000000000000000b_0,734.0,1038.0,1418.0,2253.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.86974296677172,-36.608638531845]}"
0000000000000000000c_0,782.5,1162.0,1771.0,2250.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.98166847689117,-36.1238177730057]}"
0000000000000000000d_0,213.0,365.0,366.0,2407.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08282335216487,-36.85441759358011]}"
0000000000000000000e_0,125.0,226.0,248.0,1522.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.85330379707233,-37.144393767293884]}"
0000000000000000000f_0,253.0,433.0,374.0,2754.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.24254380968134,-37.19739436905694]}"
00000000000000000010_0,219.5,338.0,373.5,1884.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0086225096966,-37.153466751663494]}"
00000000000000000011_0,199.0,337.0,323.0,2048.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.12531366510373,-37.166402491754816]}"
00000000000000000012_0,838.0,1176.0,1664.0,2232.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.83030235151702,-36.083483416748734]}"
00000000000000000013_0,215.0,403.0,312.0,2258.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.26922377361967,-37.22362517535323]}"
00000000000000000014_0,579.0,836.0,1132.0,2242.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.55299242330932,-36.08519021578856]}"
00000000000000000015_0,632.0,846.0,1182.0,2100.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5057456136465,-36.570370300741516]}"
00000000000000000016_0,249.0,369.0,368.0,1919.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.54949356798312,-36.936074452906574]}"
00000000000000000017_0,204.0,377.0,330.0,2100.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.45606877843468,-37.00174130017571]}"
00000000000000000018_0,796.0,1068.0,1318.0,2596.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.46765704559982,-36.314260613239036]}"
00000000000000000019_0,1312.0,1700.0,2214.0,2866.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.00843827235792,-36.06129502923098]}"
0000000000000000001a_0,664.0,913.0,1226.0,2458.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43828213580912,-36.670442623392425]}"
0000000000000000001b_0,1024.0,1407.0,1876.0,2523.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.9066591506672,-36.221734138974725]}"
0000000000000000001c_0,241.0,340.0,386.0,1522.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.03925506088507,-36.733684019394445]}"
0000000000000000001d_0,291.0,449.0,391.0,2548.0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5064642658738,-36.796835583868045]}"
0000000000000000001e_0,413.0,562.0,602.0,2201.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.14786137873512,-37.135859772094754]}"
0000000000000000001f_0,150.0,293.0,254.0,1588.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.60402130572916,-36.8145323949652]}"
00000000000000000020_0,191.5,254.5,245.5,1947.5,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.18738725123637,-37.04495026534185]}"
00000000000000000021_0,194.0,331.0,260.0,2144.0,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.36695590225003,-36.940835523912405]}"
00000000000000000022_0,127.5,212.5,189.5,1970.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6479489231226,-37.093638953741134]}"
00000000000000000023_0,264.0,446.0,367.0,2605.0,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.28826348336116,-36.82935459715317]}"
00000000000000000024_0,186.0,334.0,303.0,2248.0,36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.04742972997056,-36.70377012043326]}"
00000000000000000025_0,595.0,871.0,1166.0,2250.0,37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.69403249719795,-36.42376524637321]}"
00000000000000000026_0,891.0,1320.0,1848.0,2872.0,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.16043321843094,-36.062462839100334]}"
00000000000000000027_0,975.0,1316.0,1808.0,2618.0,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.30335518013436,-36.386305499025426]}"
00000000000000000028_0,231.0,358.5,323.0,1980.0,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.24173532592562,-36.942991480594294]}"
00000000000000000029_0,281.0,399.0,457.0,1766.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.64004374862236,-36.721916089172474]}"
0000000000000000002a_0,652.0,852.0,1202.0,1860.0,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5102371900671,-36.46814202140871]}"
0000000000000000002b_0,781.0,1030.0,1416.0,2483.0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.31620108869728,-36.64412198556773]}"
0000000000000000002c_0,1102.0,1424.0,1898.0,2690.0,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.3165604148109,-36.17106915695039]}"
0000000000000000002d_0,128.0,283.0,254.0,1967.0,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5657530746257,-37.01539569249432]}"
0000000000000000002e_0,151.0,273.5,253.0,2077.5,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.76913165495034,-37.076481131814454]}"
0000000000000000002f_0,2670.0,3023.0,3729.0,3888.0,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.78996799526007,-36.167206401228675]}"
00000000000000000030_0,197.0,333.0,277.0,1739.0,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.62441306267868,-36.795398279413455]}"
00000000000000000031_0,914.0,1158.0,1596.0,2274.0,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.47520289398642,-36.36178149176896]}"
00000000000000000032_0,223.0,355.0,326.0,1849.0,50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.84234435060608,-36.68562415169405]}"
00000000000000000033_0,815.0,1100.0,1510.0,2404.0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.2638293076331,-36.67798847177903]}"
00000000000000000034_0,962.0,1556.0,2534.0,3218.0,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.8571619785122,-35.992394246939014]}"
00000000000000000035_0,197.0,338.0,286.0,2352.0,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.02227690201522,-36.856214224148346]}"
00000000000000000036_0,820.5,1066.0,1465.0,2278.0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.92309832036656,-36.010809710263466]}"
00000000000000000037_0,255.0,551.0,397.0,4016.0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6877442902091,-36.56102782178667]}"
00000000000000000038_0,246.0,433.0,454.0,2260.0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.64812858617944,-36.63819310469254]}"
00000000000000000039_0,151.0,245.0,229.5,1578.0,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.02757696219152,-37.16505501882864]}"
0000000000000000003a_0,187.0,271.0,284.0,2404.0,58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7334685381708,-36.776084500804885]}"
0000000000000000003b_0,90.0,311.0,190.0,2344.0,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07078592735766,-36.866724512972546]}"
0000000000000000003c_0,189.0,305.0,283.0,2469.0,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.73769062000616,-36.72299406751342]}"
0000000000000000003d_0,130.0,237.0,216.0,1776.0,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.30821065695045,-37.098400024746965]}"
0000000000000000003e_0,119.0,200.0,188.0,1506.0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.04859753983993,-36.68104274374504]}"
0000000000000000003f_0,1116.0,1592.0,2338.0,3104.0,63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.58308598532733,-36.010809710263466]}"
00000000000000000040_0,204.0,354.0,283.0,2256.0,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78799627591684,-36.8002491819477]}"
00000000000000000041_0,1052.0,1356.0,1726.0,2576.0,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.45732641983244,-36.2628769789874]}"
00000000000000000042_0,71.5,194.5,123.5,1909.0,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7464042782621,-37.11555784667365]}"
00000000000000000043_0,1315.0,1617.0,2041.0,2637.0,67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.88788436122908,-36.229369818889744]}"
00000000000000000044_0,165.5,296.0,268.0,2520.0,68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.26967293126174,-36.95188480190708]}"
00000000000000000045_0,185.0,337.0,280.0,2248.0,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.9942494651507,-37.15382607777714]}"
00000000000000000046_0,168.0,275.0,311.0,1687.0,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.8545614384701,-36.67915628164839]}"
00000000000000000047_0,265.0,363.0,393.5,1722.0,71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.60518911559853,-37.06228775032536]}"
00000000000000000048_0,796.0,1058.0,1424.0,2547.0,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.23867647967776,-36.620136967481734]}"
00000000000000000049_0,201.0,269.0,251.0,1827.0,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.3101869505755,-37.131547858730976]}"
0000000000000000004a_0,33.0,61.0,78.0,830.0,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0176954940662,-37.0918423231729]}"
0000000000000000004b_0,377.0,507.0,587.0,1886.0,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.2208898370522,-36.230357965702275]}"
0000000000000000004c_0,287.0,507.0,459.0,2792.0,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.35114555324952,-36.4477502644592]}"
0000000000000000004d_0,724.0,1136.0,1574.0,3096.0,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.15351619074323,-36.263056642044226]}"
0000000000000000004e_0,873.0,1130.0,1466.0,2206.0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.41546492759247,-36.336718495342026]}"
0000000000000000004f_0,228.0,315.0,319.0,2382.0,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0167971787821,-37.04521975992709]}"
00000000000000000050_0,156.0,379.5,303.0,3010.0,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.79024206412714,-37.08402698020105]}"
00000000000000000051_0,1000.0,1460.0,2144.0,3090.0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.41061402505824,-36.22613588386691]}"
00000000000000000052_0,93.0,171.0,113.0,1890.0,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.62468255726392,-36.66891548740943]}"
00000000000000000053_0,188.0,341.0,263.0,2788.0,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.84611727479938,-37.03030772621071]}"
00000000000000000054_0,234.0,422.0,358.0,2834.0,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.24182515745403,-37.17628395988013]}"
00000000000000000055_0,758.0,1126.0,1752.0,2314.0,85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.0007127609145,-36.23637667810588]}"
00000000000000000056_0,609.0,801.0,1118.0,2104.0,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.51814236456735,-36.9295167513325]}"
00000000000000000057_0,208.0,399.0,367.0,3229.0,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.89651276223847,-36.86322108336448]}"
00000000000000000058_0,196.5,334.0,285.0,2706.0,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.1876567458216,-36.94236265989541]}"
00000000000000000059_0,843.0,1142.0,1638.0,2424.0,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.65764615390924,-36.28452637733468]}"
0000000000000000005a_0,976.0,1230.0,1602.0,2542.0,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.288443146418,-36.50838654613727]}"
0000000000000000005b_0,225.0,411.0,364.0,2186.0,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0552450729424,-36.824952852260985]}"
0000000000000000005c_0,23.0,127.0,67.0,1533.0,92,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.75188400149526,-37.13568010903793]}"
0000000000000000005d_0,880.0,1278.0,1826.0,2466.0,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.73283514319004,-36.19020327250213]}"
0000000000000000005e_0,480.0,605.0,588.0,2567.0,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.10294561452915,-37.01054478996008]}"
0000000000000000005f_0,151.0,274.0,232.0,1681.0,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.09539976614255,-36.77365904953776]}"
00000000000000000060_0,206.0,316.0,332.0,1506.0,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.71352593886334,-36.68580381475087]}"
00000000000000000061_0,133.5,252.5,193.5,2154.0,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.63833694958254,-37.07477433277462]}"
00000000000000000062_0,135.0,236.0,260.0,1589.0,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.84270367671974,-36.95448991623102]}"
00000000000000000063_0,918.0,1202.0,1664.0,2396.0,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42965830908156,-36.51871717190464]}"
00000000000000000064_0,788.0,1042.0,1502.0,2256.0,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.2720039767186,-36.44667228611826]}"
00000000000000000065_0,1.0,29.0,18.0,840.0,101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.8613886346294,-36.9400270401567]}"
00000000000000000066_0,262.0,376.0,432.0,1972.0,102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.59126522869468,-36.811388291470784]}"
00000000000000000067_0,153.0,221.0,233.0,2204.0,103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.27883574715975,-37.06444370700725]}"
00000000000000000068_0,143.0,256.0,247.0,1362.0,104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.87198875498203,-37.1655041764707]}"
00000000000000000069_0,824.0,1056.0,1428.0,2140.0,105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.80928177386863,-36.03919647324164]}"
0000000000000000006a_0,192.0,301.0,273.0,2008.0,106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.27335602392662,-37.053124934427345]}"
0000000000000000006b_0,220.5,315.0,326.5,1582.0,107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6177655295762,-37.05159779844434]}"
0000000000000000006c_0,551.0,874.0,1013.0,2880.0,108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.9065738934206,-36.71544821912681]}"
0000000000000000006d_0,280.0,427.0,374.0,3210.0,109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.73751095694934,-36.56992114309946]}"
0000000000000000006e_0,543.0,753.0,1038.0,2124.0,110,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.30497214764577,-36.67179009631861]}"
0000000000000000006f_0,1118.0,1460.0,1944.0,2742.0,111,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.53349898164393,-35.87929635266837]}"
00000000000000000070_0,797.0,1024.0,1376.0,2066.0,112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.80496986050485,-36.03874731559958]}"
00000000000000000071_0,317.0,505.0,587.0,2811.0,113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.8094660112073,-36.83681061401136]}"
00000000000000000072_0,587.0,833.0,1036.0,2476.0,114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.48301823695826,-36.317404716733456]}"
00000000000000000073_0,855.0,1206.0,1720.0,2342.0,115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.6421951310224,-36.271141479601305]}"
00000000000000000074_0,1044.0,1390.0,1898.0,2564.0,116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.0317046382166,-36.133070420432134]}"
00000000000000000075_0,1092.0,1538.0,2198.0,2786.0,117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.08075265272956,-36.0659662687084]}"
00000000000000000076_0,634.0,940.5,1294.0,2129.0,118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.94627485469687,-36.248683597498314]}"
00000000000000000077_0,1032.0,1326.0,1681.0,2331.0,119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.1722011486529,-36.19307788141131]}"
00000000000000000078_0,274.0,399.0,468.0,1712.0,120,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.53044928395977,-37.01458720873862]}"
00000000000000000079_0,489.0,742.0,806.0,3011.0,121,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4306464558941,-36.550068375320414]}"
0000000000000000007a_0,259.0,356.0,465.0,1258.0,122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.35195403700524,-36.719849964019005]}"
0000000000000000007b_0,118.0,257.0,253.0,1732.0,123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.9785289476786,-36.66262728042059]}"
0000000000000000007c_0,204.0,354.0,342.0,1867.0,124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.61992148625808,-36.799979687362466]}"
0000000000000000007d_0,380.0,473.0,641.0,1679.0,125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.48634200350952,-36.68984623352941]}"
0000000000000000007e_0,908.5,1284.0,1807.0,3035.0,126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.66600048605156,-36.13917896436414]}"
0000000000000000007f_0,204.0,292.0,261.0,1694.0,127,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.03404483223719,-36.74787740088353]}"
00000000000000000080_0,670.0,919.0,1320.0,2086.0,128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.62647918783216,-36.55357180492848]}"
00000000000000000081_0,637.5,986.5,1640.0,2189.0,129,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.98463291732875,-36.10665995107902]}"
00000000000000000082_0,162.0,288.0,181.0,1993.0,130,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.31206883839033,-36.858999001529114]}"
00000000000000000083_0,857.0,1136.0,1534.0,3020.0,131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.49712178691894,-36.5101831767055]}"
00000000000000000084_0,1026.0,1432.0,2018.0,2740.0,132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.7600540962989,-36.114744788636095]}"
00000000000000000085_0,167.0,340.0,251.0,2396.0,133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.54769693741488,-36.77518618552077]}"
00000000000000000086_0,445.0,716.0,872.0,2798.0,134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.32420066900778,-37.05393341818305]}"
00000000000000000087_0,217.0,336.0,313.0,2008.0,135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.74281101712563,-36.68113257527345]}"
00000000000000000088_0,181.0,331.0,301.0,2358.0,136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7883556020305,-36.88900273201871]}"
00000000000000000089_0,1074.0,1518.0,2224.0,2954.0,137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.73409278458783,-36.25712776116904]}"
0000000000000000008a_0,203.0,360.0,298.0,2250.0,138,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.37180680478428,-36.856663381790405]}"
0000000000000000008b_0,233.0,384.0,377.0,2242.0,139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.15558689017857,-37.08788973592277]}"
0000000000000000008c_0,235.0,355.0,423.0,1632.0,140,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.65351847788415,-36.87633648651262]}"
0000000000000000008d_0,1292.0,1688.0,2350.0,2984.0,141,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.8520415813927,-36.04368804966224]}"
0000000000000000008e_0,110.0,298.0,225.0,1886.0,142,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.8417155299072,-36.71904148026329]}"
0000000000000000008f_0,1024.0,1470.0,2101.0,2977.0,143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.54293129212718,-36.1704403362515]}"
00000000000000000090_0,228.0,321.0,359.0,1788.0,144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.31925536066328,-36.71877198567806]}"
00000000000000000091_0,212.0,317.0,309.0,1886.0,145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.362374494301,-36.937960915003224]}"
00000000000000000092_0,798.0,1118.0,1581.0,2583.0,146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.60482521520302,-36.14277222550062]}"
00000000000000000093_0,1312.0,1694.0,2222.0,2858.0,147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.68333797103506,-36.132351768204835]}"
00000000000000000094_0,134.5,254.0,207.5,1907.0,148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.53161709382914,-37.08016422447934]}"
00000000000000000095_0,1216.0,1498.0,1982.0,2549.0,149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.9344170929465,-36.06282216521399]}"
00000000000000000096_0,212.0,325.0,314.0,2031.0,150,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.09818454352333,-36.81040014465825]}"
00000000000000000097_0,250.0,329.0,276.0,2032.0,151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.16735482040053,-37.18769256398845]}"
00000000000000000098_0,435.0,598.0,722.0,2208.0,152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55218851383546,-36.32989129918272]}"
00000000000000000099_0,259.0,394.0,408.0,1946.0,153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5635971179438,-36.71419057772905]}"
0000000000000000009a_0,580.0,749.0,1074.0,1771.0,154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55829705776748,-36.53776145592798]}"
0000000000000000009b_0,651.0,1068.0,1086.0,3748.0,155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.51311179897627,-36.42816699126539]}"
0000000000000000009c_0,255.0,380.0,405.0,2544.0,156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.35097046447456,-37.194789254732996]}"
0000000000000000009d_0,205.0,388.0,395.0,2186.0,157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.63258773176418,-36.87660598109786]}"
