system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,201.0,389.0,365.0,1910.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.46898164711675,-38.12014382890451]}"
00000000000000000001_0,1052.0,1474.0,1942.0,2640.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.74406408424156,-36.3966361247928]}"
00000000000000000002_0,192.5,361.5,377.5,1972.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.67164157521412,-37.88936663241421]}"
00000000000000000003_0,290.0,443.0,559.0,2008.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.49657364918477,-37.557618797988866]}"
00000000000000000004_0,869.0,1306.0,2072.0,3306.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.67271955355505,-38.13065411772871]}"
00000000000000000005_0,1558.0,2058.0,2711.0,3485.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.05245114699792,-35.94370555853973]}"
00000000000000000006_0,237.0,385.0,387.0,2128.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.0425513817452,-38.03264792023127]}"
00000000000000000007_0,518.0,798.0,1012.0,2052.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.62951516267077,-38.41083865484559]}"
00000000000000000008_0,122.0,212.0,184.0,2292.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.24307822456996,-37.772675477007084]}"
00000000000000000009_0,618.0,830.0,1166.0,2346.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.21100379464502,-36.142862057029035]}"
0000000000000000000a_0,292.0,273.0,196.0,1659.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.36560842932386,-38.05582445456155]}"
0000000000000000000b_0,817.0,1162.0,1632.0,2568.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.2895028276315,-38.32037830573476]}"
0000000000000000000c_0,652.5,933.0,1391.0,1914.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.38813784582786,-37.98351007418993]}"
0000000000000000000d_0,411.0,721.0,899.5,2759.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.6367108335074,-37.50569617456676]}"
0000000000000000000e_0,431.0,697.5,759.5,3285.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35545289233144,-35.964456641602894]}"
0000000000000000000f_0,268.5,481.5,616.0,2347.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.65135337263857,-37.183021324511024]}"
00000000000000000010_0,165.0,303.0,244.0,2698.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.288443146418,-37.83232361187262]}"
00000000000000000011_0,601.0,719.0,628.0,2298.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.9120490423719,-37.992493227031126]}"
00000000000000000012_0,208.0,349.0,380.0,1740.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.67047376534475,-38.0419005676577]}"
00000000000000000013_0,135.0,230.0,257.0,1686.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.29112894370664,-37.38702872553457]}"
00000000000000000014_0,843.0,1001.0,1376.0,2112.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.2044506673528,-38.0869959949205]}"
00000000000000000015_0,742.0,937.0,1072.0,2600.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.52631245937098,-36.37759184076946]}"
00000000000000000016_0,195.0,371.0,388.0,1790.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.5993271948425,-38.018634201799]}"
00000000000000000017_0,96.0,188.0,203.0,1698.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.2967883299966,-37.33483660752723]}"
00000000000000000018_0,775.0,1070.0,1416.0,2366.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.354810348787,-38.23000778815233]}"
00000000000000000019_0,329.0,384.5,354.0,1619.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.1533365276864,-37.95638095260952]}"
0000000000000000001a_0,154.0,235.0,168.0,1758.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.99110078737442,-37.891612420624504]}"
0000000000000000001b_0,572.0,822.0,1188.0,2261.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.99559236379503,-37.91389063967067]}"
0000000000000000001c_0,821.0,1140.0,1666.0,2554.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.87214554662958,-38.01575959288982]}"
0000000000000000001d_0,937.5,1267.0,1796.0,2596.0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.48490012477308,-36.194335522809084]}"
0000000000000000001e_0,825.0,780.0,549.0,1150.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40998520435934,-38.10298600697783]}"
0000000000000000001f_0,585.0,862.0,1243.0,2329.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.62988363734812,-37.34498757023778]}"
00000000000000000020_0,595.0,909.0,1264.0,3012.0,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.4776054738443,-38.260191181698744]}"
00000000000000000021_0,129.5,291.5,264.5,2326.0,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.68728598400335,-37.38918468221646]}"
00000000000000000022_0,94.5,164.0,188.0,1224.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.5252299067482,-37.507492805135]}"
00000000000000000023_0,580.0,885.0,1068.0,2544.0,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.69051077046248,-38.31570706625733]}"
00000000000000000024_0,703.0,1042.0,1534.0,2482.0,36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.98102135906487,-38.29280002651228]}"
00000000000000000025_0,747.0,1036.0,1488.0,2722.0,37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.35310354974717,-38.264772589647755]}"
00000000000000000026_0,100.0,255.0,247.0,2344.0,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.702363957931,-38.12104214418863]}"
00000000000000000027_0,116.0,286.0,166.5,2384.0,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.63320740389935,-37.37005056666471]}"
00000000000000000028_0,520.0,543.0,808.0,1200.5,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.46550108891793,-37.98243209584899]}"
00000000000000000029_0,753.0,1092.0,1638.0,2448.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.81249741176404,-38.23225357636263]}"
0000000000000000002a_0,258.0,337.0,389.0,1966.0,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43163460270662,-37.88164112097078]}"
0000000000000000002b_0,710.0,993.0,1350.0,2248.0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1457815307361,-37.215720000852976]}"
0000000000000000002c_0,695.0,951.0,1406.0,2320.0,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.81844458976664,-38.079989135704366]}"
0000000000000000002d_0,444.0,640.0,835.0,1958.0,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4972968756939,-35.81964821780283]}"
0000000000000000002e_0,849.0,1046.0,1526.0,2808.0,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.64551889757365,-38.04953624757272]}"
0000000000000000002f_0,728.0,1098.0,1730.0,2852.0,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.53006708643687,-38.101728365580065]}"
00000000000000000030_0,160.0,287.0,218.0,1940.0,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.93082383181,-37.89439719800528]}"
00000000000000000031_0,141.0,213.0,209.0,2610.0,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.1984319549492,-37.78731801613823]}"
00000000000000000032_0,260.0,403.0,445.0,2008.0,50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.3101595048844,-38.04172090460088]}"
00000000000000000033_0,698.5,1019.0,1492.0,2369.0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.23937683477766,-38.10604027894384]}"
00000000000000000034_0,640.0,983.0,1462.0,2640.0,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.93430896429066,-38.03866663263487]}"
00000000000000000035_0,655.0,916.0,1276.0,1760.0,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.7616710638103,-36.35773907299042]}"
00000000000000000036_0,236.0,363.0,372.0,2326.0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.41842936803008,-37.73530556118771]}"
00000000000000000037_0,514.5,830.0,1149.0,2799.0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.58577635689784,-37.479195873685235]}"
00000000000000000038_0,848.0,1150.0,1584.0,2613.0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.21961389852703,-38.319839316564284]}"
00000000000000000039_0,178.0,343.0,274.0,2058.0,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.3430378442832,-38.145116993803036]}"
0000000000000000003a_0,684.0,895.0,1295.0,1979.0,58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.31402683488798,-38.008483239088456]}"
0000000000000000003b_0,1036.0,1445.0,2182.0,2998.0,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41564001636746,-36.21095435556529]}"
0000000000000000003c_0,782.0,1072.0,1492.0,2376.0,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.39262942224843,-38.16955116953108]}"
0000000000000000003d_0,151.0,328.0,299.0,2118.0,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.09870066128454,-38.10469280601766]}"
