Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
Ollivier,,2019-01-01,594.3348066298342,786.9259668508288,1112.235359116022,1506.828729281768,1808.443093922652,2079.9160220994477,2263.478453038674,2422.762430939227,2492.498342541436,2546.7889502762437,3305.9116022099447,2429.134806629834,12871.79163243853
Ollivier,,2019-01-01,591.6100815418829,775.0459599703483,1069.1764269829503,1458.7071905114901,1687.6085989621943,1849.26538176427,1993.1986656782803,2102.70200148258,2229.6100815418827,2224.7160859896217,3145.601927353595,2254.5715344699775,19017.06117443816
Ollivier,,2019-01-01,730.0911823647294,921.3036072144288,1198.4909819639279,1522.1462925851702,1831.0531062124246,2059.0621242484967,2228.0541082164327,2370.571142284569,2425.115230460922,2494.4158316633266,3477.7274549098197,2716.3687374749497,14120.516944138284
Ollivier,,2019-01-01,672.4203954214361,827.5744016649323,1096.4994797086367,1489.3839750260147,1740.0176899063474,1895.946930280957,2062.627471383975,2226.881373569199,2351.263267429761,2348.517169614984,3718.4172736732567,2897.1155046826225,13502.591508607746
Ollivier,,2019-01-01,758.236043095005,945.7766895200783,1236.026444662096,1663.3290891283057,1948.1136141038196,2074.0137120470126,2251.39569049951,2417.550440744368,2548.786483839373,2555.5406464250736,4084.177277179236,3120.128305582762,14393.147755512295
Ollivier,,2019-01-01,707.5785984848486,843.0303030303032,1110.0501893939393,1497.152462121212,1753.074810606061,1876.8560606060607,2039.6742424242425,2195.1070075757575,2388.3863636363644,2319.8948863636365,3744.0606060606065,3027.828598484849,14822.350509772465
Ollivier,,2019-01-01,617.2050163576881,797.9836423118867,1076.9094874591055,1468.7797164667393,1687.2181025081786,1768.616139585605,1895.2660850599782,2012.8124318429661,2098.6030534351144,2106.9345692475463,3045.8571428571427,2339.3631406761174,12940.201203947125
Ollivier,,2019-01-01,835.3935242839352,1007.73100871731,1282.7384806973848,1698.4358655043588,1975.2777085927771,2103.9676214196766,2275.338729763387,2458.160647571606,2643.4757160647573,2597.3163138231635,3998.364881693649,3229.9688667496894,11267.757718298468
Ollivier,,2019-01-01,644.1767441860464,758.2790697674418,951.7290697674418,1292.8697674418604,1485.827906976744,1574.3348837209303,1722.653488372093,1883.9639534883718,2035.1151162790695,2011.4604651162792,3696.2651162790694,3086.2116279069764,12089.693757729507
Ollivier,,2019-01-01,684.3286875725901,819.411149825784,1060.3995354239257,1377.6562137049941,1601.666666666667,1780.0185830429734,1905.907084785134,2028.2543554006972,2161.7212543554006,2119.8222996515688,2994.8745644599308,2737.228803716609,12194.03937532646
Ollivier,,2019-01-01,607.662893081761,746.9798742138364,1030.2679245283018,1407.269182389937,1645.4893081761006,1775.6276729559745,1911.852830188679,2044.0125786163524,2259.322012578616,2147.033962264151,3172.5132075471697,2552.267924528301,11360.717133818647
Ollivier,,2019-01-01,642.4957472660996,796.1360874848118,1053.0230862697447,1412.5419198055893,1658.6695018226,1825.876063183475,1980.931956257594,2128.7752126366945,2284.7253948967186,2248.0571081409475,3429.7460510328065,2773.113001215066,11570.440371086128
Ollivier,,2019-01-01,439.3132275132276,595.7206349206352,828.0190476190479,1156.0529100529104,1347.8698412698416,1438.7365079365081,1543.3936507936514,1673.1142857142859,1744.7132275132276,1749.8994708994712,2672.5978835978844,2012.4000000000005,13312.999980105553
Ollivier,,2019-01-01,724.3619948409287,870.0060189165948,1152.4797936371453,1566.5073086844372,1832.8684436801377,1974.4522785898541,2150.836629406707,2310.764402407566,2458.68271711092,2462.3628546861564,3944.024935511609,3258.842648323302,16519.10401768665
Ollivier,,2019-01-01,649.6193181818184,756.4034090909092,1058.1431818181818,1421.1227272727274,1765.3125000000005,2173.0056818181824,2419.4840909090917,2634.5022727272735,2708.361363636364,2764.8636363636365,3816.947727272728,3016.8704545454552,12488.534555897006
Ollivier,,2019-01-01,727.7982779827797,921.9200492004921,1229.4723247232473,1589.458794587946,1879.7650676506769,2126.558425584256,2304.2915129151293,2503.0984009840095,2665.878228782288,2623.943419434195,4000.3173431734313,3184.806888068881,11446.706837877651
Ollivier,,2019-01-01,836.0794930875576,938.4020737327187,1250.5956221198155,1622.0529953917048,1898.0034562211981,2130.6002304147464,2314.859447004608,2502.5472350230407,2720.6440092165894,2619.784562211981,4085.6278801843314,3120.0668202764978,12157.308192335442
Ollivier,,2019-01-01,680.6179295624333,854.9850586979722,1127.869797225187,1501.265741728922,1740.769477054429,1906.2540021344716,2061.97545357524,2275.001067235859,2490.017075773747,2403.595517609392,3983.0085378868735,3252.3607257203844,13276.89619968988
