Ref,Sites,date,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_B8A,Band_11,Band_12,Area_in_m2
Ollivier,,2019-01-01,613.0,836.0,1169.0,1440.0,1854.0,2289.0,2532.0,2684.0,2568.0,2801.0,2996.0,2211.0,302.3113435494922
Ollivier,,2019-01-01,580.7086092715232,731.7947019867551,1026.7549668874171,1381.2450331125826,1649.3774834437083,1842.754966887417,1977.5298013245033,2086.867549668874,2240.1059602649007,2194.5761589403974,2983.443708609271,2115.1589403973508,2158.126545635259
Ollivier,,2019-01-01,803.0,1071.5,1392.0,1811.4999999999998,2147.6,2304.4,2503.3,2624.0,2596.4,2707.8,3037.5,2419.5,573.0429770398476
Ollivier,,2019-01-01,677.3333333333334,845.6363636363637,1112.757575757576,1499.9393939393942,1740.0606060606062,1879.9696969696972,2035.0303030303035,2198.181818181818,2303.0303030303035,2309.0606060606065,3702.151515151516,2896.575757575758,474.67555734815886
Ollivier,,2019-01-01,761.6041666666667,941.0208333333333,1234.0833333333335,1664.875,1948.3333333333335,2070.0416666666665,2248.0416666666665,2414.9166666666665,2543.25,2552.4166666666665,4065.6666666666665,3109.9791666666665,662.9330544884758
Ollivier,,2019-01-01,756.7254901960783,963.0392156862744,1270.9607843137253,1655.4901960784314,1931.8431372549019,1939.5294117647056,2082.7647058823527,2188.7450980392155,2384.725490196078,2260.901960784314,3357.607843137255,2767.8823529411766,731.1201630199859
Ollivier,,2019-01-01,574.0,693.0,967.0,1302.0,1549.0,1629.0,1789.0,1865.0,1914.0,2018.0,2958.0,2208.0,278.4472350589052
Ollivier,,2019-01-01,834.0,1002.0,1284.0,1706.0,1983.0,2114.0,2276.0,2460.0,2660.0,2596.0,3894.0,3159.0,79.70250381990208
Ollivier,,2019-01-01,641.0,765.0,969.0,1326.0,1530.0,1628.0,1778.0,1946.0,2101.0,2074.0,3764.0,3127.0,168.34681607048785
Ollivier,,2019-01-01,659.0,849.0,1095.0,1427.0,1666.0,1893.0,2040.0,2179.0,2222.0,2274.0,3036.0,2781.0,217.31095220844165
Ollivier,,2019-01-01,587.0,603.0,832.0,1133.0,1368.0,1522.0,1640.0,1767.0,2138.0,1889.0,3018.0,2372.0,75.95281003897871
Ollivier,,2019-01-01,611.8888888888888,735.6666666666666,991.1111111111112,1325.0,1565.111111111111,1761.888888888889,1912.4444444444446,2047.2222222222222,2228.8888888888887,2163.1111111111113,3292.222222222222,2624.888888888889,117.27117424539374
Ollivier,,2019-01-01,425.72413793103453,608.551724137931,837.1724137931034,1181.0,1378.103448275862,1469.5172413793105,1576.103448275862,1714.0344827586207,1733.4482758620688,1801.2068965517242,2782.4827586206898,2112.7241379310344,424.18694193612515
Ollivier,,2019-01-01,752.241935483871,942.8225806451613,1254.3064516129034,1682.8709677419354,1957.2258064516132,2085.5967741935488,2259.064516129032,2408.6612903225805,2517.8548387096776,2547.5967741935483,3914.6129032258063,3285.4193548387093,918.5178539445244
Ollivier,,2019-01-01,582.0,827.0,1173.0,1595.0,1905.0,2171.0,2370.0,2609.0,2708.0,2696.0,3888.0,2993.0,236.87381561975462
Ollivier,,2019-01-01,694.0,994.0,1368.0,1733.0,2070.0,2356.0,2529.0,2733.0,2672.0,2797.0,3817.0,3037.0,90.71191544166945
Ollivier,,2019-01-01,833.0,723.0,1038.0,1371.0,1665.0,1866.0,2107.0,2271.0,2609.0,2397.0,3758.0,2710.0,132.51973784118348
Ollivier,,2019-01-01,683.0,831.0,1104.0,1544.0,1770.0,1904.0,2054.0,2307.0,2552.0,2443.0,4255.0,3515.0,367.3431228327048
Ollivier,,2019-01-01,508.0,780.0,1091.0,1500.0,1825.0,2121.0,2335.0,2499.0,2622.0,2680.0,3886.0,2873.0,185.6151379803808
Ollivier,,2019-01-01,395.0,493.0,799.0,1006.0,1422.0,1833.0,2007.0,2182.0,2428.0,2275.0,2931.0,1926.0,231.45150624780243
Ollivier,,2019-01-01,523.0,802.0,1161.0,1393.0,1760.0,2064.0,2245.0,2338.0,2990.0,2428.0,2548.0,1993.0,461.0833579887697
