system:index,B2,B3,B4,B8,class,.geo
00000000000000000000_0_0,904.0,1033.5,1225.0,1463.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61396973397365,-38.35047186775276]}"
00000000000000000000_1_0,920.0,1024.0,1187.0,1321.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61873080497946,-38.34993287858229]}"
00000000000000000000_2_0,1252.0,1450.0,1708.0,1944.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61702400593964,-38.35110068845164]}"
00000000000000000000_3_0,577.0,762.5,1323.0,2684.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61379007091682,-38.34921422635499]}"
00000000000000000000_4_0,1238.0,1561.0,1882.0,2110.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61765282663853,-38.35119051998005]}"
00000000000000000000_5_0,1870.0,2722.0,4216.0,5458.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61361040786,-38.35280748749147]}"
00000000000000000000_6_0,1455.0,1746.0,2389.0,3468.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.615137543843,-38.35190917220735]}"
00000000000000000000_7_0,1389.0,1687.0,1974.0,2198.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61621552218395,-38.3530769820767]}"
00000000000000000000_8_0,569.5,795.0,1352.0,2721.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.6145985546725,-38.34957355246864]}"
00000000000000000000_9_0,885.5,1026.0,1246.0,1502.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61531720689982,-38.35181934067894]}"
00000000000000000000_10_0,933.5,1099.0,1335.0,1599.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61396973397365,-38.35056169928117]}"
00000000000000000000_11_0,1364.0,1754.0,2684.0,3874.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.6143290600873,-38.35181934067894]}"
00000000000000000000_12_0,1229.0,1485.0,1882.0,2092.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61334091327475,-38.35074136233799]}"
00000000000000000000_13_0,1905.0,2343.0,2672.0,2707.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.6158561960703,-38.353166813605114]}"
00000000000000000000_14_0,1989.0,2870.0,4574.0,6268.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61720366899647,-38.35244816137782]}"
00000000000000000000_15_0,721.0,994.5,1668.0,3130.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61396973397365,-38.349393889411814]}"
00000000000000000000_16_0,2149.0,2459.0,2592.0,3269.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61720366899647,-38.351280351508464]}"
00000000000000000000_17_0,1444.0,1785.0,2036.0,2131.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61621552218395,-38.35352613971877]}"
00000000000000000000_18_0,1071.0,1476.0,2228.0,3030.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61648501676916,-38.352987150548294]}"
00000000000000000000_19_0,904.5,1156.0,1285.0,1589.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.61657484829757,-38.351549846093704]}"
00000000000000000001_0_0,635.5,782.0,904.0,1589.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.59142202034224,-38.32882246940548]}"
00000000000000000001_1_0,565.0,696.5,775.0,1531.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.59097286270017,-38.32882246940548]}"
00000000000000000001_2_0,627.0,784.5,896.0,1607.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.5912423572854,-38.32855297482024]}"
00000000000000000001_3_0,630.0,745.5,834.5,1601.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.59106269422858,-38.32882246940548]}"
