system:index,B2,B3,B4,B8,class,.geo
0_0_0,609.0,738.5,789.5,1370.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.60058483624024,-38.34615995438898]}"
0_1_0,3006.0,3392.0,3418.0,4080.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.59806955344473,-38.348495574127696]}"
0_2_0,467.5,860.0,676.5,3917.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.59797972191632,-38.347237932729925]}"
0_3_0,1306.0,1782.0,1946.0,2405.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.60220180375168,-38.34669894355945]}"
0_4_0,1764.0,1994.0,2147.0,2085.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.6022916352801,-38.34508197604804]}"
0_5_0,724.5,990.0,1157.0,3058.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.5978000588595,-38.3448124814628]}"
0_6_0,640.5,993.0,1060.0,2924.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.59815938497314,-38.346070122860574]}"
0_7_0,566.5,919.0,837.5,3392.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.59618309134808,-38.34598029133216]}"
0_8_0,772.0,966.0,1277.0,1921.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.60130348846755,-38.34687860661628]}"
0_9_0,698.0,1021.5,1086.0,2727.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.59824921650156,-38.34615995438898]}"
0_10_0,622.5,756.5,865.0,1370.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.60049500471186,-38.34615995438898]}"
0_11_0,925.0,1037.5,1147.5,2193.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.5986983741436,-38.34571079674692]}"
0_12_0,2397.0,2855.0,3030.0,3668.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.60049500471186,-38.34571079674692]}"
0_13_0,813.5,1085.0,1031.5,2966.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.5963627544049,-38.345800628275335]}"
