system:index,B2,B3,B4,B8,class,.geo
1_00000000000000000000_0_0,1390.0,1388.0,1209.0,1546.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34066271011642,-27.55424928861911]}"
1_00000000000000000000_1_0,1429.0,1412.0,1365.0,2034.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.554788277789584]}"
1_00000000000000000000_2_0,1656.0,1681.0,1746.0,2707.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34102203623007,-27.553530636391816]}"
1_00000000000000000000_3_0,1556.0,1580.0,1796.0,2492.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.553979794033875]}"
1_00000000000000000000_4_0,1500.0,1457.0,1376.0,1907.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34084237317325,-27.553800130977052]}"
1_00000000000000000000_5_0,1394.0,1331.0,1186.0,1518.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34075254164483,-27.55469844626117]}"
1_00000000000000000000_6_0,1409.0,1400.0,1225.0,1589.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34093220470166,-27.55406962556229]}"
1_00000000000000000000_7_0,1556.0,1580.0,1796.0,2492.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.553979794033875]}"
1_00000000000000000000_8_0,1382.0,1416.0,1323.0,1694.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34156102540055,-27.55371029944864]}"
1_00000000000000000000_9_0,1323.0,1322.0,1153.0,1464.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34102203623007,-27.554339120147525]}"
1_00000000000000000000_10_0,1390.0,1388.0,1209.0,1546.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34066271011642,-27.55424928861911]}"
1_00000000000000000000_11_0,1372.0,1345.0,1155.0,1524.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34102203623007,-27.553979794033875]}"
1_00000000000000000000_12_0,1418.0,1389.0,1286.0,2136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.554339120147525]}"
1_00000000000000000000_13_0,1373.0,1323.0,1132.0,1469.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3412915308153,-27.554518783204347]}"
1_00000000000000000000_14_0,1609.0,1631.0,1634.0,2337.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34111186775849,-27.553530636391816]}"
1_00000000000000000000_15_0,1556.0,1580.0,1796.0,2492.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34057287858803,-27.553979794033875]}"
1_00000000000000000000_16_0,1447.0,1484.0,1429.0,1890.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34138136234372,-27.55362046792023]}"
1_00000000000000000000_17_0,1566.0,1520.0,1312.0,1948.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34138136234372,-27.55460861473276]}"
1_00000000000000000000_18_0,1534.0,1623.0,1562.0,2107.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34156102540055,-27.554518783204347]}"
1_00000000000000000000_19_0,1541.0,1429.0,1196.5,1729.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34201018304262,-27.554339120147525]}"
1_00000000000000000001_0_0,1524.0,1627.0,1409.0,2522.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3396745633039,-27.554967940846407]}"
1_00000000000000000001_1_0,1914.0,2065.0,1954.0,3102.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33913557413342,-27.554967940846407]}"
1_00000000000000000001_2_0,2125.0,2215.0,2045.0,3136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.55460861473276]}"
1_00000000000000000001_3_0,1550.0,1639.0,1412.0,2455.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3396745633039,-27.55505777237482]}"
1_00000000000000000001_4_0,2010.0,2214.0,2047.0,2984.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33931523719025,-27.554788277789584]}"
1_00000000000000000001_5_0,1985.0,2297.0,2071.0,2805.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.55469844626117]}"
1_00000000000000000001_6_0,1719.0,1947.0,1877.0,2457.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.554878109317997]}"
1_00000000000000000001_7_0,1989.0,2126.0,1982.0,3037.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33922540566184,-27.554788277789584]}"
1_00000000000000000001_8_0,1493.0,1574.0,1384.0,2588.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33976439483232,-27.55505777237482]}"
1_00000000000000000001_9_0,1461.0,1503.0,1362.0,2808.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33976439483232,-27.554967940846407]}"
1_00000000000000000001_10_0,1524.0,1627.0,1409.0,2522.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3396745633039,-27.554967940846407]}"
1_00000000000000000001_11_0,1719.0,1947.0,1877.0,2457.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.554878109317997]}"
1_00000000000000000001_12_0,1513.0,1626.0,1435.0,3203.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3395847317755,-27.554878109317997]}"
1_00000000000000000001_13_0,1493.0,1574.0,1384.0,2588.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33976439483232,-27.55505777237482]}"
1_00000000000000000001_14_0,2108.0,2087.0,2003.0,3302.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33940506871866,-27.554518783204347]}"
1_00000000000000000001_15_0,1524.0,1627.0,1409.0,2522.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3396745633039,-27.554967940846407]}"
1_00000000000000000001_16_0,1955.0,2166.0,1954.0,2948.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33922540566184,-27.554878109317997]}"
1_00000000000000000001_17_0,1989.0,2126.0,1982.0,3037.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33922540566184,-27.554788277789584]}"
1_00000000000000000001_18_0,1722.0,1970.0,1984.0,2883.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33949490024708,-27.55469844626117]}"
1_00000000000000000001_19_0,1976.0,2039.0,2008.0,3276.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.33949490024708,-27.554518783204347]}"
1_00000000000000000002_0_0,1214.0,1336.0,1478.0,2226.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561435810892068]}"
1_00000000000000000002_1_0,1425.0,1539.0,1713.0,2544.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34326782444037,-27.56152564242048]}"
1_00000000000000000002_2_0,1214.0,1337.0,1611.0,2211.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34353731902561,-27.561705305477304]}"
1_00000000000000000002_3_0,1580.0,1791.0,2198.0,2968.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561705305477304]}"
1_00000000000000000002_4_0,1214.0,1336.0,1478.0,2226.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561435810892068]}"
1_00000000000000000002_5_0,1286.0,1480.0,1649.0,2636.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561435810892068]}"
1_00000000000000000002_6_0,1425.0,1539.0,1713.0,2544.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34326782444037,-27.56152564242048]}"
1_00000000000000000002_7_0,1292.0,1438.0,1577.0,2420.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34317799291196,-27.561435810892068]}"
1_00000000000000000002_8_0,1241.5,1407.0,1482.0,2404.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.56152564242048]}"
1_00000000000000000002_9_0,1214.0,1336.0,1478.0,2226.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561435810892068]}"
1_00000000000000000002_10_0,1214.0,1336.0,1478.0,2226.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.561435810892068]}"
1_00000000000000000002_11_0,1240.5,1362.0,1480.0,2358.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3433576559688,-27.56152564242048]}"
1_00000000000000000002_12_0,1233.5,1451.0,1549.0,2462.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561615473948894]}"
1_00000000000000000002_13_0,1292.0,1438.0,1577.0,2420.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34317799291196,-27.561435810892068]}"
1_00000000000000000002_14_0,1214.0,1337.0,1611.0,2211.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34353731902561,-27.561705305477304]}"
1_00000000000000000002_15_0,1286.0,1480.0,1649.0,2636.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561435810892068]}"
1_00000000000000000002_16_0,1220.5,1362.0,1498.0,2159.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34353731902561,-27.561615473948894]}"
1_00000000000000000002_17_0,1250.0,1388.0,1542.0,2366.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34326782444037,-27.561435810892068]}"
1_00000000000000000002_18_0,1298.5,1528.0,1836.0,2608.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561705305477304]}"
1_00000000000000000002_19_0,1298.5,1528.0,1836.0,2608.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3434474874972,-27.561705305477304]}"
1_00000000000000000003_0_0,1642.0,1808.0,1926.0,2173.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.5624239577046]}"
1_00000000000000000003_1_0,1430.0,1508.0,1549.0,2098.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34425597125292,-27.5624239577046]}"
1_00000000000000000003_2_0,1723.0,1905.0,1936.0,2368.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34479496042337,-27.56233412617619]}"
1_00000000000000000003_3_0,1821.0,1960.0,1934.0,2375.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34488479195178,-27.5624239577046]}"
1_00000000000000000003_4_0,1394.0,1478.0,1560.0,1897.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34434580278133,-27.5624239577046]}"
1_00000000000000000003_5_0,1429.0,1682.0,1789.0,2031.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34452546583816,-27.56233412617619]}"
1_00000000000000000003_6_0,1642.0,1808.0,1926.0,2173.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.5624239577046]}"
1_00000000000000000003_7_0,1678.0,1741.0,1863.0,2219.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.562513789233012]}"
1_00000000000000000003_8_0,1678.0,1741.0,1863.0,2219.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.562513789233012]}"
1_00000000000000000003_9_0,1678.0,1741.0,1863.0,2219.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.562513789233012]}"
1_00000000000000000003_10_0,1642.0,1808.0,1926.0,2173.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.5624239577046]}"
1_00000000000000000003_11_0,1490.0,1683.0,1861.0,1958.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34461529736654,-27.5624239577046]}"
1_00000000000000000003_12_0,1723.0,1905.0,1936.0,2368.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.34470512889496,-27.56233412617619]}"
