system:index,B2,B3,B4,B8,class,.geo
00000000000000000000_0_0,841.0,1044.0,1140.0,2322.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4027986820864,-38.23243323941945]}"
00000000000000000000_1_0,2696.0,2910.0,3022.0,3018.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40675126933652,-38.23189425024898]}"
00000000000000000000_2_0,675.0,935.0,960.0,2364.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40567329099557,-38.23512818527181]}"
00000000000000000000_3_0,1692.0,2100.0,2442.0,3348.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4059427855808,-38.23189425024898]}"
00000000000000000000_4_0,499.0,861.0,774.0,2988.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40702076392176,-38.234499364572926]}"
00000000000000000000_5_0,630.0,878.0,962.0,1932.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39633081204073,-38.23297222858992]}"
00000000000000000000_6_0,948.0,1204.0,1510.0,2480.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39938508400675,-38.23431970151611]}"
00000000000000000000_7_0,1198.0,1638.0,1874.0,2586.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.3967799696828,-38.23593666902752]}"
00000000000000000000_8_0,868.0,1140.0,1250.0,2186.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39857660025103,-38.236206163612756]}"
00000000000000000000_9_0,1112.0,1316.0,1534.0,2052.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39974441012038,-38.234499364572926]}"
00000000000000000000_10_0,703.0,865.0,889.0,1820.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40261901902957,-38.23252307094786]}"
00000000000000000000_11_0,876.0,1110.0,1276.0,1902.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39929525247834,-38.23342138623198]}"
00000000000000000000_12_0,646.0,814.0,1010.0,1594.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40172070374544,-38.23189425024898]}"
00000000000000000000_13_0,1206.0,1534.0,1782.0,2036.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39651047509756,-38.23557734291387]}"
00000000000000000000_14_0,728.0,1008.0,1108.0,2118.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40854789990476,-38.236206163612756]}"
00000000000000000000_15_0,628.0,804.0,1086.0,2156.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40549362793877,-38.23216374483422]}"
00000000000000000000_16_0,1078.0,1356.0,1406.0,1892.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40648177475128,-38.2350383537434]}"
00000000000000000000_17_0,1064.0,1196.0,1380.0,1866.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39561215981345,-38.23611633208434]}"
00000000000000000000_18_0,877.0,1144.0,1262.0,2480.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40827840531952,-38.23764346806735]}"
00000000000000000000_19_0,578.0,683.0,753.0,1134.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.40576312252398,-38.23611633208434]}"
00000000000000000001_0_0,752.0,979.0,1210.0,2316.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4254362272462,-38.22407890727714]}"
00000000000000000001_1_0,490.0,742.0,779.0,2128.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4201361670699,-38.22641452701585]}"
00000000000000000001_2_0,1140.0,1260.0,1594.0,2088.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42157347152448,-38.22380941269191]}"
00000000000000000001_3_0,318.0,471.0,516.0,2206.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4283108361554,-38.22497722256126]}"
00000000000000000001_4_0,716.0,934.0,1076.0,1992.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42040566165514,-38.223989075748726]}"
00000000000000000001_5_0,926.0,1344.0,1552.0,2192.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.419507346371,-38.221114466839545]}"
00000000000000000001_6_0,901.0,1148.0,1314.0,2386.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42283111292227,-38.2252467171465]}"
00000000000000000001_7_0,988.0,1416.0,1734.0,3164.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4208548192972,-38.22650435854426]}"
00000000000000000001_8_0,651.0,814.0,870.0,1748.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4268735317008,-38.2245280649192]}"
00000000000000000001_9_0,1082.0,1572.0,1616.0,2974.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42319043903592,-38.22578570631697]}"
00000000000000000001_10_0,2060.0,2468.0,1988.0,2514.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4252565641894,-38.22407890727714]}"
00000000000000000001_11_0,1078.0,1238.0,1448.0,2500.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42247178680861,-38.22362974963508]}"
00000000000000000001_12_0,535.0,661.0,738.0,1708.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42426841737685,-38.22246193976572]}"
00000000000000000001_13_0,638.0,879.0,1042.0,2006.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42049549318355,-38.225695874788556]}"
00000000000000000001_14_0,1017.0,1198.0,1194.0,2058.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.41968700942783,-38.222102613652076]}"
00000000000000000001_15_0,455.0,671.0,803.0,2364.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42795151004174,-38.225156885618084]}"
00000000000000000001_16_0,761.0,921.0,1174.0,2128.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.42094465082562,-38.22362974963508]}"
00000000000000000001_17_0,881.0,1144.0,1348.0,2438.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.41986667248466,-38.2260552009022]}"
00000000000000000001_18_0,1226.0,1594.0,1736.0,2902.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4201361670699,-38.22084497225431]}"
00000000000000000001_19_0,841.0,1124.0,1130.0,3144.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4216633030529,-38.22291109740779]}"
00000000000000000002_0_0,996.0,1260.0,1394.0,2126.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4359465160704,-38.2260552009022]}"
00000000000000000002_1_0,559.0,709.0,868.0,1626.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43837196733753,-38.22416873880555]}"
00000000000000000002_2_0,802.0,1023.0,1284.0,1854.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43792280969546,-38.225695874788556]}"
00000000000000000002_3_0,650.0,744.0,756.0,1362.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43450921161582,-38.22587553784538]}"
00000000000000000002_4_0,584.0,854.0,1174.0,1472.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43846179886594,-38.22551621173173]}"
00000000000000000002_5_0,605.0,800.0,1058.0,1762.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43909061956484,-38.226863684657914]}"
00000000000000000002_6_0,1019.0,1140.0,1288.0,1902.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43711432593977,-38.225156885618084]}"
00000000000000000002_7_0,1124.0,1392.0,1858.0,2374.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43801264122388,-38.224258570333966]}"
00000000000000000002_8_0,861.0,1013.0,1262.0,1824.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43522786384312,-38.22596536937379]}"
00000000000000000002_9_0,984.0,1092.0,1222.0,2348.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43693466288295,-38.22488739103285]}"
00000000000000000002_10_0,677.0,930.0,1028.0,1822.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43603634759882,-38.22596536937379]}"
00000000000000000002_11_0,670.0,958.0,1136.0,2114.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4374736520534,-38.22587553784538]}"
00000000000000000002_12_0,418.0,661.0,861.0,2150.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4366651682977,-38.22668402160109]}"
00000000000000000002_13_0,946.0,1290.0,1376.0,2448.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43828213580912,-38.22461789644761]}"
00000000000000000002_14_0,858.0,1080.0,968.0,2648.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.438910956508,-38.22632469548744]}"
00000000000000000002_15_0,697.0,807.0,973.0,1406.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43468887467264,-38.22578570631697]}"
00000000000000000002_16_0,628.0,747.0,927.0,1370.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4381923042807,-38.225695874788556]}"
00000000000000000002_17_0,910.0,803.0,1009.0,3060.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43855163039436,-38.22434840186238]}"
00000000000000000002_18_0,796.0,901.0,1058.0,2322.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.4388211249796,-38.227043347714734]}"
00000000000000000002_19_0,602.0,864.0,1062.0,1676.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.43792280969546,-38.22623486395903]}"
00000000000000000003_0_0,985.0,1180.0,1396.0,1800.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.44214489153083,-38.2388112779367]}"
